sl_zec_usdt,sl_baseline,n,wins,losses,win_rate,net_pnl,gross_win,gross_loss,profit_factor,avg_trade,median_trade,max_dd,long_n,short_n,avg_dur_bars
55.0,22.0,1298,817,481,0.6294,13406.85,31687.53,18280.68,1.733,10.329,23.98,-564.47,650,648,3.8
60.0,24.0,1281,816,465,0.637,13313.61,31493.26,18179.65,1.732,10.393,23.98,-799.08,642,639,4.0
65.0,26.0,1266,814,452,0.643,13303.79,31444.16,18140.37,1.733,10.509,23.98,-908.1,636,630,4.2
67.5,27.0,1261,815,446,0.6463,13222.41,31441.98,18219.57,1.726,10.486,23.98,-950.6,633,628,4.3
82.5,33.0,1236,813,423,0.6578,13202.84,31329.21,18126.37,1.728,10.682,23.98,-963.19,619,617,4.8
62.5,25.0,1272,814,458,0.6399,13192.81,31462.83,18270.01,1.722,10.372,23.98,-865.6,639,633,4.1
85.0,34.0,1232,813,419,0.6599,13105.96,31384.67,18278.71,1.717,10.638,23.98,-829.13,619,613,4.9
57.5,23.0,1294,817,477,0.6314,13091.1,31682.81,18591.71,1.704,10.117,23.98,-608.1,649,645,3.9
47.5,19.0,1321,809,512,0.6124,13065.6,31498.82,18433.22,1.709,9.891,23.98,-625.64,661,660,3.6
87.5,35.0,1226,812,414,0.6623,12982.11,31170.77,18188.66,1.714,10.589,23.98,-861.64,616,610,5.0
80.0,32.0,1240,812,428,0.6548,12859.67,31277.3,18417.64,1.698,10.371,23.98,-965.66,621,619,4.7
72.5,29.0,1252,812,440,0.6486,12853.64,31317.19,18463.55,1.696,10.266,23.98,-701.61,629,623,4.4
45.0,18.0,1323,805,518,0.6085,12843.35,31325.85,18482.5,1.695,9.708,23.98,-642.63,662,661,3.5
52.5,21.0,1309,813,496,0.6211,12804.33,31597.68,18793.35,1.681,9.782,23.98,-522.42,656,653,3.7
15.0,6.0,1382,720,662,0.521,12803.33,28505.28,15701.95,1.815,9.264,5.253,-439.97,693,689,2.1
70.0,28.0,1258,812,446,0.6455,12767.92,31299.89,18531.97,1.689,10.149,23.98,-993.1,633,625,4.3
50.0,20.0,1315,809,506,0.6152,12750.41,31465.14,18714.74,1.681,9.696,23.98,-566.2,658,657,3.6
92.5,37.0,1217,809,408,0.6647,12733.62,31098.71,18365.09,1.693,10.463,23.98,-926.64,612,605,5.1
77.5,31.0,1245,811,434,0.6514,12713.86,31243.76,18529.9,1.686,10.212,23.98,-936.67,625,620,4.6
97.5,39.0,1204,806,398,0.6694,12710.38,30855.58,18145.2,1.7,10.557,23.98,-695.01,603,601,5.3
90.0,36.0,1225,811,414,0.662,12688.15,31146.75,18458.59,1.687,10.358,23.98,-894.14,616,609,5.0
42.5,17.0,1332,803,529,0.6029,12684.01,31287.56,18603.55,1.682,9.523,23.98,-573.89,666,666,3.4
100.0,40.0,1200,805,395,0.6708,12582.75,30715.0,18132.25,1.694,10.486,23.98,-736.02,599,601,5.5
95.0,38.0,1209,806,403,0.6667,12505.31,30865.45,18360.14,1.681,10.344,23.98,-842.47,606,603,5.2
17.5,7.0,1384,730,654,0.5275,12434.79,28798.78,16363.99,1.76,8.985,17.276,-458.72,694,690,2.2
75.0,30.0,1250,810,440,0.648,12316.99,31269.19,18952.2,1.65,9.854,23.98,-736.78,629,621,4.5
20.0,8.0,1383,738,645,0.5336,11972.75,29032.48,17059.73,1.702,8.657,23.98,-493.48,693,690,2.4
37.5,15.0,1349,789,560,0.5849,11891.26,30772.02,18880.76,1.63,8.815,23.98,-608.6,677,672,3.1
40.0,16.0,1343,794,549,0.5912,11724.73,30818.25,19093.52,1.614,8.73,23.98,-544.51,675,668,3.2
32.5,13.0,1371,782,589,0.5704,11591.54,30578.96,18987.42,1.61,8.455,23.98,-685.73,687,684,2.9
22.5,9.0,1384,745,639,0.5383,11540.76,29257.31,17716.55,1.651,8.339,23.98,-480.89,694,690,2.5
35.0,14.0,1360,784,576,0.5765,11461.32,30585.66,19124.35,1.599,8.427,23.98,-712.86,682,678,3.0
25.0,10.0,1388,757,631,0.5454,11450.42,29737.37,18286.95,1.626,8.25,23.98,-490.83,694,694,2.6
27.5,11.0,1383,764,619,0.5524,11353.04,29985.5,18632.46,1.609,8.209,23.98,-529.2,691,692,2.7
30.0,12.0,1375,772,603,0.5615,11342.32,30173.89,18831.57,1.602,8.249,23.98,-608.9,685,690,2.8
