sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,zec_net,zec_pf,sol_net,sol_pf,zec_dd,sol_dd,combined_net,lift_vs_b2,both_profitable
80,8,18,13,28,33,15,30756.75,9.083,9969.09,5.447,-218.39,-193.98,40725.84,1255.979999999996,True
80,18,28,23,48,53,10,31318.18,5.356,9333.43,3.252,-261.0,-252.42,40651.61,1181.75,True
120,18,28,23,43,48,10,31308.92,4.949,9265.7,3.119,-272.57,-304.42,40574.619999999995,1104.7599999999948,True
80,8,18,13,33,38,15,30553.91,9.031,9943.31,5.426,-218.39,-193.98,40497.22,1027.3600000000006,True
100,8,18,13,28,33,15,30730.01,9.135,9758.72,4.977,-278.39,-253.98,40488.729999999996,1018.8699999999953,True
120,22,32,27,47,52,10,30670.3,4.107,9776.31,3.109,-381.41,-362.92,40446.61,976.75,True
80,10,20,15,30,35,15,30615.27,7.752,9781.01,4.758,-218.39,-197.01,40396.28,926.4199999999983,True
100,22,32,27,47,52,10,31032.2,4.354,9334.97,2.856,-281.41,-387.42,40367.17,897.3099999999977,True
80,22,32,27,52,57,10,31102.59,4.52,9186.89,2.894,-331.84,-294.92,40289.479999999996,819.6199999999953,True
80,10,20,15,35,40,15,30610.86,7.754,9664.34,4.714,-218.39,-197.01,40275.2,805.3399999999965,True
100,8,18,13,33,38,15,30525.09,9.081,9732.94,4.959,-278.39,-253.98,40258.03,788.1699999999983,True
80,8,18,13,38,43,15,30496.91,9.005,9754.3,5.351,-218.39,-193.98,40251.21,781.3499999999985,True
100,10,20,15,30,35,15,30493.96,7.682,9716.5,4.618,-278.39,-257.01,40210.46,740.5999999999985,True
100,10,20,15,35,40,15,30490.97,7.681,9604.47,4.577,-278.39,-257.01,40095.44,625.5800000000017,True
100,18,28,23,48,53,10,30894.46,5.11,9181.53,3.101,-213.5,-332.42,40075.99,606.1299999999974,True
120,10,20,15,30,35,15,30236.18,7.293,9790.75,4.741,-338.39,-312.51,40026.93,557.0699999999997,True
100,8,18,13,38,43,15,30463.09,9.064,9543.93,4.889,-278.39,-253.98,40007.020000000004,537.1600000000035,True
120,8,18,13,28,33,15,30320.72,8.266,9617.72,4.706,-338.39,-309.48,39938.44,468.58000000000175,True
80,10,20,15,40,45,15,30343.04,7.687,9581.06,4.682,-218.39,-195.48,39924.1,454.23999999999796,True
120,10,20,15,35,40,15,30230.69,7.292,9678.71,4.698,-338.39,-312.51,39909.399999999994,439.5399999999936,True
80,12,22,17,37,42,15,30239.78,7.006,9646.08,4.367,-209.89,-193.98,39885.86,416.0,True
80,12,22,17,32,37,15,30207.62,6.997,9663.04,4.276,-207.39,-193.98,39870.66,400.8000000000029,True
80,15,25,20,35,40,15,30516.11,6.297,9235.5,3.668,-173.5,-193.98,39751.61,281.75,True
100,10,20,15,40,45,15,30218.16,7.622,9531.94,4.55,-278.39,-255.48,39750.1,280.23999999999796,True
120,8,18,13,33,38,15,30120.81,8.218,9591.94,4.69,-338.39,-309.48,39712.75,242.88999999999942,True
120,18,28,23,48,53,10,30578.83,4.857,9019.05,3.063,-272.57,-304.42,39597.880000000005,128.02000000000407,True
100,12,22,17,37,42,15,30057.89,6.827,9507.1,4.161,-269.89,-253.98,39564.99,95.12999999999738,True
120,10,20,15,40,45,15,29954.09,7.235,9607.44,4.671,-338.39,-310.98,39561.53,91.66999999999825,True
100,12,22,17,32,37,15,30028.3,6.822,9506.55,4.054,-267.39,-253.98,39534.85,64.98999999999796,True
80,12,22,17,42,47,15,30005.35,6.953,9510.66,4.32,-209.89,-193.98,39516.009999999995,46.14999999999418,True
80,15,25,20,40,45,15,30299.55,6.257,9170.31,3.649,-173.5,-193.98,39469.86,0.0,True
120,8,18,13,38,43,15,30057.03,8.203,9402.93,4.624,-338.39,-309.48,39459.96,-9.900000000001455,True
120,22,32,27,52,57,10,29885.41,4.027,9506.09,3.051,-376.53,-370.42,39391.5,-78.36000000000058,True
100,15,25,20,35,40,15,30182.23,6.071,9200.89,3.538,-227.58,-253.98,39383.119999999995,-86.74000000000524,True
100,22,32,27,52,57,10,30247.31,4.269,9092.25,2.808,-276.53,-394.92,39339.56,-130.3000000000029,True
120,12,22,17,37,42,15,29692.83,6.4,9622.53,4.347,-329.89,-309.48,39315.36,-154.5,True
120,12,22,17,32,37,15,29666.52,6.395,9601.98,4.201,-327.39,-309.48,39268.5,-201.36000000000058,True
100,12,22,17,42,47,15,29817.34,6.781,9370.29,4.115,-269.89,-253.98,39187.630000000005,-282.2299999999959,True
100,15,25,20,40,45,15,29969.4,6.035,9127.81,3.518,-228.5,-253.98,39097.21,-372.65000000000146,True
80,18,28,23,38,43,15,30014.34,5.175,8966.08,3.162,-267.55,-252.48,38980.42,-489.4400000000023,True
120,12,22,17,42,47,15,29462.27,6.358,9487.98,4.3,-329.89,-309.48,38950.25,-519.6100000000006,True
120,15,25,20,35,40,15,29691.94,5.618,9216.32,3.561,-307.58,-309.48,38908.259999999995,-561.6000000000058,True
80,15,25,20,45,50,15,29889.87,6.186,9009.89,3.603,-173.5,-193.98,38899.759999999995,-570.1000000000058,True
80,22,32,27,42,47,15,30080.41,4.404,8742.22,2.801,-329.55,-297.09,38822.63,-647.2300000000032,True
80,18,28,23,43,48,15,29940.04,5.164,8815.09,3.126,-267.55,-257.48,38755.130000000005,-714.7299999999959,True
120,15,25,20,40,45,15,29475.33,5.585,9144.5,3.541,-308.5,-309.48,38619.83,-850.0299999999988,True
80,22,32,27,47,52,15,29920.19,4.386,8660.15,2.784,-329.36,-294.98,38580.34,-889.5200000000041,True
100,15,25,20,45,50,15,29555.59,5.965,8962.64,3.472,-224.15,-253.98,38518.229999999996,-951.6300000000047,True
100,18,28,23,38,43,15,29528.97,4.929,8824.4,3.019,-222.65,-332.48,38353.37,-1116.489999999998,True
80,18,28,23,48,53,15,29543.83,5.109,8609.51,3.076,-265.86,-257.48,38153.340000000004,-1316.5199999999968,True
100,18,28,23,43,48,15,29452.55,4.919,8674.01,2.985,-222.65,-337.48,38126.56,-1343.300000000003,True
120,15,25,20,45,50,15,29071.52,5.522,8974.33,3.494,-302.38,-309.48,38045.85,-1424.010000000002,True
80,22,32,27,52,57,15,29419.47,4.329,8563.15,2.764,-336.86,-299.98,37982.62,-1487.239999999998,True
120,18,28,23,38,43,15,29200.95,4.683,8678.53,2.985,-282.65,-309.48,37879.48,-1590.3799999999974,True
120,22,32,27,42,47,15,28788.14,3.916,9088.13,2.961,-399.0,-372.59,37876.27,-1593.5900000000038,True
100,22,32,27,42,47,15,29167.47,4.153,8650.15,2.72,-299.0,-397.09,37817.62,-1652.239999999998,True
120,18,28,23,43,48,15,29129.53,4.674,8523.14,2.949,-284.0,-309.48,37652.67,-1817.1900000000023,True
120,22,32,27,47,52,15,28644.33,3.902,9004.43,2.943,-399.0,-370.48,37648.76,-1821.0999999999985,True
100,22,32,27,47,52,15,29023.67,4.137,8570.57,2.704,-299.0,-394.98,37594.24,-1875.6200000000026,True
100,18,28,23,48,53,15,29035.55,4.863,8465.18,2.937,-222.65,-337.48,37500.729999999996,-1969.1300000000047,True
80,8,18,13,38,43,20,28552.93,8.495,8884.97,4.959,-223.44,-199.54,37437.9,-2031.9599999999991,True
80,8,18,13,33,38,20,28401.57,8.46,8973.95,4.998,-223.44,-200.06,37375.520000000004,-2094.3399999999965,True
80,8,18,13,28,33,20,28378.5,8.453,8890.88,4.961,-223.44,-200.06,37269.38,-2200.480000000003,True
100,8,18,13,38,43,20,28521.56,8.55,8677.04,4.536,-283.44,-259.54,37198.600000000006,-2271.2599999999948,True
80,10,20,15,40,45,20,28422.66,7.264,8728.16,4.351,-223.44,-203.04,37150.82,-2319.040000000001,True
100,8,18,13,33,38,20,28372.7,8.511,8766.02,4.572,-283.44,-260.06,37138.72,-2331.1399999999994,True
80,10,20,15,35,40,20,28413.22,7.265,8715.15,4.346,-223.44,-204.56,37128.37,-2341.489999999998,True
80,10,20,15,30,35,20,28363.85,7.252,8722.76,4.349,-223.44,-204.56,37086.61,-2383.25,True
100,8,18,13,28,33,20,28349.19,8.505,8682.95,4.538,-283.44,-260.06,37032.14,-2437.720000000001,True
120,22,32,27,52,57,15,28122.69,3.849,8905.47,2.921,-394.15,-375.48,37028.159999999996,-2441.7000000000044,True
120,18,28,23,48,53,15,28712.54,4.621,8315.14,2.902,-283.15,-309.48,37027.68,-2442.1800000000003,True
100,10,20,15,40,45,20,28300.19,7.201,8679.0,4.232,-283.44,-263.04,36979.19,-2490.6699999999983,True
100,22,32,27,52,57,15,28502.03,4.081,8473.57,2.685,-294.15,-399.98,36975.6,-2494.260000000002,True
100,10,20,15,35,40,20,28293.26,7.2,8652.72,4.222,-283.44,-264.56,36945.979999999996,-2523.8800000000047,True
100,10,20,15,30,35,20,28242.44,7.189,8673.79,4.23,-283.44,-264.56,36916.229999999996,-2553.6300000000047,True
80,12,22,17,37,42,20,28132.24,6.585,8754.09,4.053,-214.94,-199.04,36886.33,-2583.529999999999,True
80,12,22,17,42,47,20,28067.99,6.569,8723.25,4.042,-214.94,-199.04,36791.240000000005,-2678.6199999999953,True
120,10,20,15,40,45,20,28038.69,6.836,8752.0,4.344,-343.44,-318.54,36790.69,-2679.1699999999983,True
80,12,22,17,32,37,20,28033.02,6.562,8733.55,4.046,-214.94,-199.04,36766.57,-2703.290000000001,True
120,10,20,15,35,40,20,28035.51,6.835,8724.48,4.333,-343.44,-320.06,36759.99,-2709.8700000000026,True
120,10,20,15,30,35,20,27984.69,6.825,8745.55,4.341,-343.44,-320.06,36730.24,-2739.6200000000026,True
120,8,18,13,38,43,20,28118.05,7.738,8536.04,4.29,-343.44,-315.04,36654.09,-2815.770000000004,True
80,15,25,20,40,45,20,28292.9,5.909,8339.57,3.408,-174.24,-199.04,36632.47,-2837.3899999999994,True
120,8,18,13,33,38,20,27970.95,7.703,8625.02,4.324,-343.44,-315.56,36595.97,-2873.8899999999994,True
100,12,22,17,37,42,20,27950.28,6.419,8608.93,3.862,-274.94,-259.04,36559.21,-2910.6500000000015,True
120,8,18,13,28,33,20,27947.43,7.697,8541.95,4.292,-343.44,-315.56,36489.380000000005,-2980.479999999996,True
80,15,25,20,35,40,20,28205.54,5.893,8260.98,3.385,-174.24,-199.04,36466.520000000004,-3003.3399999999965,True
100,12,22,17,42,47,20,27882.37,6.406,8578.09,3.852,-274.94,-259.04,36460.46,-3009.4000000000015,True
100,12,22,17,32,37,20,27848.61,6.399,8588.39,3.855,-274.94,-259.04,36437.0,-3032.8600000000006,True
80,15,25,20,45,50,20,28097.42,5.875,8290.54,3.393,-174.24,-199.04,36387.96,-3081.9000000000015,True
120,12,22,17,37,42,20,27587.78,6.017,8724.35,4.034,-334.94,-314.54,36312.13,-3157.730000000003,True
100,15,25,20,40,45,20,27956.65,5.697,8291.39,3.287,-248.55,-259.04,36248.04,-3221.8199999999997,True
120,12,22,17,42,47,20,27524.87,6.005,8695.75,4.024,-334.94,-314.54,36220.619999999995,-3249.2400000000052,True
120,12,22,17,32,37,20,27486.86,5.999,8703.81,4.027,-334.94,-314.54,36190.67,-3279.1900000000023,True
80,22,32,27,47,52,20,28128.3,4.183,8028.2,2.653,-337.27,-302.54,36156.5,-3313.3600000000006,True
100,15,25,20,35,40,20,27869.28,5.682,8212.8,3.265,-239.51,-259.04,36082.08,-3387.779999999999,True
80,18,28,23,43,48,20,27976.32,4.891,8077.21,2.947,-275.49,-262.54,36053.53,-3416.3300000000017,True
100,15,25,20,45,50,20,27757.0,5.663,8242.36,3.274,-239.95,-259.04,35999.36,-3470.5,True
80,18,28,23,48,53,20,27878.35,4.878,8038.87,2.938,-274.27,-262.54,35917.22,-3552.6399999999994,True
80,22,32,27,42,47,20,27951.27,4.163,7947.37,2.636,-337.49,-304.67,35898.64,-3571.220000000001,True
80,18,28,23,38,43,20,27869.76,4.876,8022.75,2.934,-275.49,-262.54,35892.509999999995,-3577.350000000006,True
80,22,32,27,52,57,20,27882.64,4.155,7988.86,2.645,-341.88,-305.04,35871.5,-3598.3600000000006,True
120,15,25,20,40,45,20,27465.14,5.272,8308.05,3.309,-328.55,-314.54,35773.19,-3696.6699999999983,True
120,15,25,20,35,40,20,27381.53,5.259,8228.22,3.287,-319.51,-314.54,35609.75,-3860.1100000000006,True
120,15,25,20,45,50,20,27270.5,5.242,8256.52,3.295,-319.95,-314.54,35527.020000000004,-3942.8399999999965,True
100,18,28,23,43,48,20,27493.69,4.658,7934.47,2.816,-232.74,-342.54,35428.159999999996,-4041.7000000000044,True
100,18,28,23,48,53,20,27370.0,4.642,7896.13,2.807,-232.74,-342.54,35266.13,-4203.730000000003,True
100,18,28,23,38,43,20,27370.38,4.642,7880.01,2.803,-232.74,-342.54,35250.39,-4219.470000000001,True
120,22,32,27,47,52,20,26826.34,3.718,8373.23,2.807,-416.58,-378.04,35199.57,-4270.290000000001,True
100,22,32,27,47,52,20,27223.1,3.942,7943.69,2.58,-316.58,-402.54,35166.79,-4303.07,True
120,18,28,23,43,48,20,27163.28,4.426,7796.05,2.783,-301.58,-314.54,34959.33,-4510.529999999999,True
120,22,32,27,42,47,20,26646.81,3.699,8286.55,2.788,-416.58,-380.17,34933.36,-4536.5,True
120,22,32,27,52,57,20,26590.74,3.694,8341.96,2.8,-411.77,-380.54,34932.7,-4537.1600000000035,True
100,22,32,27,42,47,20,27043.58,3.923,7862.86,2.564,-316.58,-404.67,34906.44,-4563.419999999998,True
100,22,32,27,52,57,20,26987.51,3.917,7904.35,2.572,-311.77,-405.04,34891.86,-4578.0,True
120,18,28,23,48,53,20,27039.59,4.41,7758.53,2.774,-300.77,-314.54,34798.12,-4671.739999999998,True
120,18,28,23,38,43,20,27039.96,4.41,7741.59,2.771,-301.58,-314.54,34781.55,-4688.309999999998,True
