min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,10,20,15,35,40,15,524,389,135,0.7424,4947.38,8699.92,3752.54,2.318,22.36,-27.8,9.442,-314.2,-15.71,6,-214.1,4207.17,2.734,740.21,1.558,158,524,409,115,0.7805,9664.34,12266.73,2602.4,4.714,29.99,-22.63,18.443,-197.01,-9.85,4,-178.0,7502.14,5.477,2162.19,3.333,158,94.71,89.08
0.12,"(0.3, 0.6)",True,80,10,20,15,35,40,20,524,388,136,0.7405,3998.25,7756.92,3758.66,2.064,19.99,-27.64,7.63,-321.74,-16.09,6,-214.1,3497.56,2.438,500.7,1.377,158,524,409,115,0.7805,8715.15,11320.07,2604.92,4.346,27.68,-22.65,16.632,-204.56,-10.23,4,-178.0,6792.46,5.048,1922.69,3.074,158,94.47,82.54
0.12,"(0.3, 0.6)",True,80,10,20,15,40,45,10,524,390,134,0.7443,5688.02,9437.03,3749.01,2.517,24.2,-27.98,10.855,-305.11,-15.26,6,-214.1,4775.78,2.971,912.24,1.688,158,524,409,115,0.7805,10405.08,13004.95,2599.87,5.002,31.8,-22.61,19.857,-188.92,-9.45,4,-178.0,8070.85,5.824,2334.23,3.518,158,94.77,90.16
0.12,"(0.3, 0.6)",True,80,10,20,15,40,45,15,524,390,134,0.7443,4864.07,8615.61,3751.54,2.297,22.09,-28.0,9.283,-312.67,-15.63,6,-214.1,4163.83,2.717,700.24,1.528,158,524,409,115,0.7805,9581.06,12183.46,2602.4,4.682,29.79,-22.63,18.284,-195.48,-9.77,4,-178.0,7458.84,5.452,2122.23,3.29,158,94.56,88.27
0.12,"(0.3, 0.6)",True,80,10,20,15,40,45,20,524,389,135,0.7424,4011.25,7766.31,3755.06,2.068,19.96,-27.82,7.655,-320.22,-16.01,6,-214.1,3531.2,2.454,480.05,1.362,158,524,409,115,0.7805,8728.16,11333.07,2604.92,4.351,27.71,-22.65,16.657,-203.04,-10.15,4,-178.0,6826.11,5.068,1902.04,3.052,158,94.3,82.24
0.12,"(0.3, 0.6)",True,80,12,22,17,32,37,10,524,384,140,0.7328,5989.8,10110.8,4121.0,2.453,26.33,-29.44,11.431,-290.27,-14.51,4,-214.1,5061.93,2.931,927.87,1.619,158,524,403,121,0.7691,10706.84,13653.71,2946.87,4.633,33.88,-24.35,20.433,-188.92,-9.45,4,-178.0,8357.02,5.515,2349.82,3.144,158,94.45,89.84
0.12,"(0.3, 0.6)",True,80,12,22,17,32,37,15,524,380,144,0.7252,4946.08,9083.67,4137.59,2.195,23.9,-28.73,9.439,-295.85,-14.79,4,-214.1,4260.34,2.615,685.74,1.457,158,524,403,121,0.7691,9663.04,12612.43,2949.4,4.276,31.3,-24.38,18.441,-193.98,-9.7,4,-178.0,7555.34,5.076,2107.69,2.923,158,94.34,88.38
0.12,"(0.3, 0.6)",True,80,12,22,17,32,37,20,523,380,143,0.7266,4025.64,8083.39,4057.75,1.992,21.27,-28.38,7.697,-305.87,-15.29,4,-214.1,3509.33,2.324,516.31,1.367,157,523,403,120,0.7706,8733.55,11600.97,2867.42,4.046,28.79,-23.9,16.699,-199.04,-9.95,4,-178.0,6804.25,4.666,1929.31,2.908,157,94.5,82.76
0.12,"(0.3, 0.6)",True,80,12,22,17,37,42,10,523,382,141,0.7304,5871.43,9918.97,4047.54,2.451,25.97,-28.71,11.226,-288.61,-14.43,4,-214.1,4918.27,2.862,953.16,1.678,157,523,403,120,0.7706,10579.52,13441.89,2862.37,4.696,33.35,-23.85,20.229,-188.92,-9.45,4,-178.0,8213.37,5.437,2366.15,3.34,157,94.73,90.33
0.12,"(0.3, 0.6)",True,80,12,22,17,37,42,15,523,380,143,0.7266,4938.07,8988.14,4050.07,2.219,23.65,-28.32,9.442,-298.67,-14.93,6,-214.1,4214.37,2.594,723.71,1.515,157,523,403,120,0.7706,9646.08,12510.98,2864.9,4.367,31.04,-23.87,18.444,-193.98,-9.7,4,-178.0,7509.39,5.051,2136.69,3.113,157,94.57,88.86
