id,symbol,side,bar_time,outcome,ema9,slope_pct,body_atr_ratio,detected_at
100,TON,short,"2026-06-06 06:15:00+00:00",fired,,,,2026-06-06T06:31:28.975062+00:00
112,TON,short,"2026-06-06 08:00:00+00:00",detected,,-0.0245975884314997,,2026-06-06T08:15:45.668529+00:00
114,TON,short,"2026-06-06 08:15:00+00:00",fired,,,,2026-06-06T08:30:25.839277+00:00
125,TON,short,"2026-06-06 09:30:00+00:00",detected,,-0.0177273621573224,,2026-06-06T09:45:23.280974+00:00
126,TON,short,"2026-06-06 09:30:00+00:00",entry_unfilled,,,,2026-06-06T10:30:44.775485+00:00
128,TON,short,"2026-06-06 14:00:00+00:00",detected,,-0.00959493428235048,,2026-06-06T14:16:10.768970+00:00
130,TON,short,"2026-06-06 14:15:00+00:00",fired,,,,2026-06-06T14:30:32.088202+00:00
131,TON,short,"2026-06-06 16:45:00+00:00",detected,,-0.00462745967009792,,2026-06-06T17:00:23.976077+00:00
132,TON,short,"2026-06-06 16:45:00+00:00",entry_unfilled,,,,2026-06-06T17:46:09.383643+00:00
155,TON,long,"2026-06-07 00:00:00+00:00",detected,,0.00460862560921416,,2026-06-07T00:15:42.863950+00:00
165,TON,long,"2026-06-07 00:30:00+00:00",fired,,,,2026-06-07T00:46:05.165324+00:00
223,TON,long,"2026-06-07 09:45:00+00:00",detected,,0.018736890754486,,2026-06-07T10:01:27.425270+00:00
224,TON,long,"2026-06-07 10:00:00+00:00",fired,,,,2026-06-07T10:15:27.932135+00:00
226,TON,long,"2026-06-07 12:00:00+00:00",detected,,0.0158041137771385,,2026-06-07T12:15:15.563476+00:00
232,TON,long,"2026-06-07 12:15:00+00:00",fired,,,,2026-06-07T12:30:33.765022+00:00
256,TON,long,"2026-06-07 19:00:00+00:00",detected,,0.0104455505230783,,2026-06-07T19:15:50.070429+00:00
259,TON,long,"2026-06-07 19:15:00+00:00",fired,,,,2026-06-07T19:30:18.762510+00:00
291,TON,long,"2026-06-08 05:00:00+00:00",detected,,0.00779569928796175,,2026-06-08T05:15:35.268951+00:00
292,TON,long,"2026-06-08 05:30:00+00:00",fired,,,,2026-06-08T05:46:12.573240+00:00
310,TON,long,"2026-06-08 21:45:00+00:00",detected,,0.0143382355455617,,2026-06-08T22:00:58.276408+00:00
311,TON,long,"2026-06-08 22:00:00+00:00",fired,,,,2026-06-08T22:16:12.588048+00:00
317,TON,long,"2026-06-08 22:15:00+00:00",detected,,0.0136052915977276,,2026-06-08T22:31:30.678315+00:00
319,TON,long,"2026-06-08 22:30:00+00:00",fired,,,,2026-06-08T22:45:46.675594+00:00
321,TON,long,"2026-06-08 23:00:00+00:00",detected,,0.0113761324783426,,2026-06-08T23:16:14.583976+00:00
323,TON,long,"2026-06-08 23:15:00+00:00",fired,,,,2026-06-08T23:30:24.866955+00:00
353,TON,short,"2026-06-09 03:45:00+00:00",detected,,-0.000583764683520061,,2026-06-09T04:01:22.062594+00:00
354,TON,short,"2026-06-09 04:00:00+00:00",fired,,,,2026-06-09T04:15:40.373505+00:00
371,TON,long,"2026-06-09 09:30:00+00:00",detected,,0.00837297535249437,,2026-06-09T09:45:34.562481+00:00
376,TON,long,"2026-06-09 10:00:00+00:00",fired,,,,2026-06-09T10:15:38.670254+00:00
378,TON,long,"2026-06-09 10:15:00+00:00",detected,,0.00763327284395476,,2026-06-09T10:30:10.774912+00:00
381,TON,long,"2026-06-09 10:30:00+00:00",fired,,,,2026-06-09T10:45:32.683530+00:00
401,TON,long,"2026-06-09 14:15:00+00:00",detected,,0.00316638326296315,,2026-06-09T14:30:30.069637+00:00
406,TON,long,"2026-06-09 14:30:00+00:00",fired,,,,2026-06-09T14:45:37.481246+00:00
410,TON,long,"2026-06-09 15:15:00+00:00",detected,,0.00285999685359517,,2026-06-09T15:31:30.771874+00:00
412,TON,long,"2026-06-09 15:30:00+00:00",fired,,,,2026-06-09T15:45:20.971853+00:00
437,TON,short,"2026-06-10 00:00:00+00:00",detected,,-0.00174094775834277,,2026-06-10T00:15:16.479236+00:00
448,TON,short,"2026-06-10 00:45:00+00:00",fired,,,,2026-06-10T01:00:56.164124+00:00
453,TON,short,"2026-06-10 01:00:00+00:00",detected,,-0.00219676457067441,,2026-06-10T01:15:37.756614+00:00
458,TON,short,"2026-06-10 03:15:00+00:00",detected,,-0.00448702231195708,,2026-06-10T03:30:48.541337+00:00
459,TON,short,"2026-06-10 03:15:00+00:00",entry_unfilled,,,,2026-06-10T04:15:18.348246+00:00
474,TON,short,"2026-06-10 10:00:00+00:00",detected,,-0.00919382024131732,,2026-06-10T10:15:41.777963+00:00
475,TON,short,"2026-06-10 10:30:00+00:00",fired,,,,2026-06-10T10:45:36.297945+00:00
480,TON,short,"2026-06-10 12:30:00+00:00",detected,,-0.00864290086872321,,2026-06-10T12:45:06.962538+00:00
488,TON,short,"2026-06-10 12:45:00+00:00",fired,,,,2026-06-10T13:00:02.360901+00:00
497,TON,short,"2026-06-10 13:00:00+00:00",detected,,-0.00827529658430026,,2026-06-10T13:16:21.870938+00:00
503,TON,short,"2026-06-10 13:15:00+00:00",fired,,,,2026-06-10T13:31:26.672651+00:00
536,TON,short,"2026-06-10 15:45:00+00:00",detected,,-0.00498243124293918,,2026-06-10T16:00:34.959655+00:00
539,TON,short,"2026-06-10 15:45:00+00:00",entry_unfilled,,,,2026-06-10T16:45:41.525378+00:00
543,TON,short,"2026-06-11 00:00:00+00:00",detected,,-0.0165019119035261,,2026-06-11T00:16:00.840169+00:00
547,TON,short,"2026-06-11 00:15:00+00:00",fired,,,,2026-06-11T00:30:19.245072+00:00
570,TON,short,"2026-06-11 01:30:00+00:00",detected,,-0.0156843690324862,,2026-06-11T01:46:16.637350+00:00
577,TON,short,"2026-06-11 02:00:00+00:00",fired,,,,2026-06-11T02:15:49.260237+00:00
582,TON,short,"2026-06-11 03:30:00+00:00",detected,,-0.0112565828584319,,2026-06-11T03:46:32.075390+00:00
583,TON,short,"2026-06-11 03:45:00+00:00",fired,,,,2026-06-11T04:00:09.815892+00:00
651,TON,short,"2026-06-11 17:45:00+00:00",detected,,-0.00628362866597043,,2026-06-11T18:01:35.265152+00:00
652,TON,short,"2026-06-11 18:00:00+00:00",fired,,,,2026-06-11T18:15:50.568225+00:00
