sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
60.0,0.12,"(0.3, 0.6)",True,511,307,204,0.6008,2695.13,10320.49,7625.36,1.353,33.62,-37.38,5.274,-534.71,-26.74,9,-361.42,1868.93,1.342,826.2,1.383,154,511,307,204,0.6008,7295.71,13084.96,5789.25,2.26,42.62,-28.38,14.277,-380.25,-19.01,9,-280.5,5082.87,2.213,2212.84,2.384,154,99.48,73.55
60.0,0.12,"(0.3, 0.6)",False,583,346,237,0.5935,2655.45,11686.39,9030.94,1.294,33.78,-38.11,4.555,-783.81,-39.19,9,-361.43,2140.61,1.34,514.84,1.188,175,583,346,237,0.5935,7903.92,14801.67,6897.75,2.146,42.78,-29.1,13.557,-522.87,-26.14,9,-280.5,5813.4,2.205,2090.51,2.008,175,96.97,64.13
60.0,0.15,None,True,394,245,149,0.6218,3350.91,8662.74,5311.84,1.631,35.36,-35.65,8.505,-360.06,-18.0,6,-247.53,2748.85,1.763,602.05,1.352,119,394,245,149,0.6218,6898.11,10868.61,3970.5,2.737,44.36,-26.65,17.508,-202.5,-10.13,6,-202.5,5224.68,2.92,1673.43,2.339,119,95.88,75.28
60.0,0.15,None,False,449,275,174,0.6125,3274.25,9643.66,6369.42,1.514,35.07,-36.61,7.292,-523.82,-26.19,6,-247.53,2701.49,1.624,572.75,1.28,135,449,275,174,0.6125,7316.45,12119.45,4803.0,2.523,44.07,-27.6,16.295,-280.71,-14.04,6,-202.5,5528.24,2.684,1788.21,2.176,135,95.91,71.71
60.0,0.15,"(0.3, 0.5)",True,337,213,124,0.632,3379.92,7694.23,4314.31,1.783,36.12,-34.79,10.029,-324.81,-16.24,7,-247.46,2649.86,1.907,730.06,1.524,102,337,213,124,0.632,6414.23,9612.23,3198.0,3.006,45.13,-25.79,19.033,-229.5,-11.47,7,-202.5,4765.76,3.193,1648.46,2.609,102,96.78,81.0
60.0,0.15,"(0.3, 0.5)",False,384,242,142,0.6302,3510.24,8607.67,5097.43,1.689,35.57,-35.9,9.141,-510.89,-25.54,7,-247.46,2797.48,1.816,712.76,1.427,116,384,242,142,0.6302,6967.51,10786.51,3819.0,2.824,44.57,-26.89,18.145,-321.87,-16.09,7,-202.5,5210.26,3.017,1757.25,2.422,116,96.35,78.41
60.0,0.15,"(0.2, 0.5)",True,301,196,105,0.6512,3535.17,7232.83,3697.66,1.956,36.9,-35.22,11.745,-348.79,-17.44,7,-247.46,2919.51,2.214,615.66,1.476,91,301,196,105,0.6512,6245.22,8997.72,2752.5,3.269,45.91,-26.21,20.748,-229.5,-11.47,7,-202.5,4810.23,3.67,1434.99,2.509,91,94.95,82.42
60.0,0.15,"(0.2, 0.5)",False,347,225,122,0.6484,3739.04,8146.27,4407.24,1.848,36.21,-36.12,10.775,-534.87,-26.74,7,-247.46,3020.13,2.037,718.9,1.481,105,347,225,122,0.6484,6863.01,10172.01,3309.0,3.074,45.21,-27.12,19.778,-354.87,-17.74,7,-202.5,5198.76,3.351,1664.25,2.516,105,95.65,82.04
60.0,0.15,"(0.3, 0.6)",True,319,203,116,0.6364,3356.7,7382.97,4026.27,1.834,36.37,-34.71,10.523,-324.81,-16.24,7,-220.62,2500.68,1.891,856.02,1.702,96,319,203,116,0.6364,6228.97,9210.97,2982.0,3.089,45.37,-25.71,19.527,-229.5,-11.47,7,-193.5,4508.5,3.152,1720.46,2.941,96,98.05,84.5
60.0,0.15,"(0.3, 0.6)",False,362,229,133,0.6326,3387.91,8183.8,4795.9,1.706,35.74,-36.06,9.359,-510.89,-25.54,6,-220.62,2693.21,1.846,694.7,1.43,109,362,229,133,0.6326,6647.18,10245.68,3598.5,2.847,44.74,-27.06,18.362,-321.87,-16.09,6,-193.5,4970.93,3.088,1676.25,2.376,109,96.33,78.22
60.0,0.18,None,True,243,160,83,0.6584,2774.34,5755.1,2980.77,1.931,35.97,-35.91,11.417,-213.45,-10.67,4,-147.08,2177.92,2.073,596.42,1.627,73,243,160,83,0.6584,4962.1,7195.6,2233.5,3.222,44.97,-26.91,20.42,-150.38,-7.52,4,-129.0,3708.68,3.446,1253.42,2.748,73,96.35,81.05
60.0,0.18,None,False,276,178,98,0.6449,2915.91,6459.25,3543.34,1.823,36.29,-36.16,10.565,-213.45,-10.67,4,-174.0,2360.6,2.007,555.31,1.463,83,276,178,98,0.6449,5400.7,8061.7,2661.0,3.03,45.29,-27.15,19.568,-150.38,-7.52,4,-138.0,4098.33,3.353,1302.37,2.416,83,95.8,78.0
60.0,0.18,"(0.3, 0.5)",True,210,144,66,0.6857,3050.03,5261.26,2211.23,2.379,36.54,-33.5,14.524,-147.08,-7.35,4,-147.08,2670.47,3.002,379.56,1.433,63,210,144,66,0.6857,4940.77,6557.77,1617.0,4.056,45.54,-24.5,23.527,-129.0,-6.45,4,-129.0,3994.2,5.141,946.57,2.451,63,92.21,78.06
60.0,0.18,"(0.3, 0.5)",False,237,160,77,0.6751,3214.07,5873.91,2659.84,2.208,36.71,-34.54,13.561,-173.45,-8.67,4,-160.5,2741.18,2.69,472.88,1.456,72,237,160,77,0.6751,5347.81,7314.31,1966.5,3.719,45.71,-25.54,22.565,-133.5,-6.68,4,-133.5,4226.84,4.581,1120.96,2.426,72,93.72,80.34
60.0,0.18,"(0.2, 0.5)",True,192,135,57,0.7031,2966.42,4996.12,2029.69,2.462,37.01,-35.61,15.45,-147.08,-7.35,3,-147.08,2594.36,3.175,372.06,1.445,58,192,135,57,0.7031,4695.09,6211.59,1516.5,4.096,46.01,-26.61,24.454,-129.0,-6.45,3,-129.0,3801.02,5.332,894.07,2.399,58,90.9,77.7
60.0,0.18,"(0.2, 0.5)",False,218,151,67,0.6927,3203.99,5608.76,2404.77,2.332,37.14,-35.89,14.697,-197.43,-9.87,3,-160.5,2665.07,2.8,538.93,1.583,66,218,151,67,0.6927,5166.63,6968.13,1801.5,3.868,46.15,-26.89,23.7,-133.5,-6.68,3,-133.5,4033.67,4.689,1132.96,2.6,66,94.36,81.62
60.0,0.18,"(0.3, 0.6)",True,200,139,61,0.695,3099.21,5122.86,2023.65,2.531,36.86,-33.17,15.496,-147.08,-7.35,3,-147.08,2619.11,3.101,480.1,1.618,60,200,139,61,0.695,4899.85,6374.35,1474.5,4.323,45.86,-24.17,24.499,-129.0,-6.45,3,-129.0,3879.78,5.333,1020.07,2.762,60,93.11,80.35
60.0,0.18,"(0.3, 0.6)",False,225,153,72,0.68,3174.61,5646.88,2472.27,2.284,36.91,-34.34,14.109,-173.45,-8.67,3,-160.5,2627.48,2.712,547.13,1.584,68,225,153,72,0.68,5200.31,7024.31,1824.0,3.851,45.91,-25.33,23.112,-133.5,-6.68,3,-133.5,4041.12,4.636,1159.19,2.627,68,94.6,81.82
60.0,0.21,None,True,154,107,47,0.6948,2478.31,4012.85,1534.54,2.615,37.5,-32.65,16.093,-238.45,-11.92,3,-147.0,1947.5,2.912,530.81,2.029,47,154,107,47,0.6948,3864.64,4976.14,1111.5,4.477,46.51,-23.65,25.095,-175.45,-8.77,3,-129.0,2910.79,4.936,953.85,3.564,47,90.32,80.71
60.0,0.21,None,False,173,115,58,0.6647,2355.44,4338.59,1983.15,2.188,37.73,-34.19,13.615,-238.45,-11.92,4,-174.01,1922.99,2.487,432.45,1.627,52,173,115,58,0.6647,3912.88,5373.88,1461.0,3.678,46.73,-25.19,22.618,-175.45,-8.77,4,-138.0,3012.31,4.168,900.57,2.766,52,89.46,78.0
60.0,0.21,"(0.3, 0.5)",True,135,95,40,0.7037,2325.93,3645.97,1320.04,2.762,38.38,-33.0,17.229,-201.37,-10.07,3,-160.5,1951.01,3.427,374.92,1.727,41,135,95,40,0.7037,3541.32,4501.32,960.0,4.689,47.38,-24.0,26.232,-156.38,-7.82,3,-133.5,2797.4,5.757,743.93,3.0,41,86.27,76.51
60.0,0.21,"(0.3, 0.5)",False,151,102,49,0.6755,2206.09,3947.74,1741.65,2.267,38.7,-35.54,14.61,-201.37,-10.07,4,-174.01,1952.46,2.833,253.63,1.375,46,151,102,49,0.6755,3565.56,4866.06,1300.5,3.742,47.71,-26.54,23.613,-156.38,-7.82,4,-138.0,2897.87,4.645,667.69,2.321,46,84.87,72.78
60.0,0.21,"(0.2, 0.5)",True,125,91,34,0.728,2370.97,3549.97,1179.01,3.011,39.01,-34.68,18.968,-201.37,-10.07,3,-160.5,2090.96,4.091,280.01,1.557,38,125,91,34,0.728,3496.32,4369.32,873.0,5.005,48.01,-25.68,27.971,-156.38,-7.82,3,-133.5,2874.35,6.686,621.98,2.692,38,83.89,73.88
60.0,0.21,"(0.2, 0.5)",False,140,98,42,0.7,2324.66,3851.74,1527.08,2.522,39.3,-36.36,16.605,-201.37,-10.07,5,-187.51,2055.48,3.192,269.18,1.457,42,140,98,42,0.7,3585.06,4734.06,1149.0,4.12,48.31,-27.36,25.608,-156.38,-7.82,5,-142.5,2937.81,5.123,647.26,2.483,42,84.53,73.48
60.0,0.21,"(0.3, 0.6)",True,127,91,36,0.7165,2399.84,3545.81,1145.96,3.094,38.96,-31.83,18.896,-201.37,-10.07,3,-160.5,1900.4,3.602,499.44,2.202,39,127,91,36,0.7165,3543.16,4365.16,822.0,5.31,47.97,-22.83,27.899,-156.38,-7.82,3,-133.5,2692.73,6.144,850.43,3.849,39,88.28,80.03
60.0,0.21,"(0.3, 0.6)",False,142,97,45,0.6831,2237.87,3805.44,1567.57,2.428,39.23,-34.83,15.76,-201.37,-10.07,4,-174.01,1841.43,2.857,396.44,1.688,43,142,97,45,0.6831,3516.29,4678.79,1162.5,4.025,48.23,-25.83,24.763,-156.38,-7.82,4,-138.0,2732.75,4.741,783.54,2.814,43,86.99,77.1
65.0,0.09,None,True,998,564,434,0.5651,-220.46,17286.86,17507.32,0.987,30.65,-40.34,-0.221,-1457.47,-72.87,8,-275.96,-415.65,0.967,195.19,1.04,300,998,564,434,0.5651,8761.84,22363.59,13601.75,1.644,39.65,-31.34,8.779,-402.67,-20.13,8,-222.0,5866.73,1.596,2895.1,1.77,300,92.42,15.0
65.0,0.09,None,False,1149,643,506,0.5596,-328.92,20295.28,20624.21,0.984,31.56,-40.76,-0.286,-1388.14,-69.41,9,-316.46,-281.82,0.981,-47.11,0.992,345,1149,643,506,0.5596,10012.1,26082.85,16070.75,1.623,40.56,-31.76,8.714,-495.69,-24.78,9,-235.5,6954.41,1.612,3057.69,1.65,345,91.96,15.0
65.0,0.09,"(0.3, 0.5)",True,847,476,371,0.562,316.97,14829.0,14512.03,1.022,31.15,-39.12,0.374,-963.46,-48.17,11,-343.46,101.38,1.01,215.59,1.052,255,847,476,371,0.562,7940.7,19113.95,11173.25,1.711,40.16,-30.12,9.375,-375.07,-18.75,11,-244.5,5429.9,1.677,2510.8,1.796,255,93.75,37.02
65.0,0.09,"(0.3, 0.5)",False,980,544,436,0.5551,99.89,17439.34,17339.45,1.006,32.06,-39.77,0.102,-1146.36,-57.32,11,-343.46,358.53,1.03,-258.65,0.951,294,980,544,436,0.5551,8920.25,22336.0,13415.75,1.665,41.06,-30.77,9.102,-453.24,-22.66,11,-244.5,6532.83,1.701,2387.43,1.582,294,90.63,15.62
65.0,0.09,"(0.2, 0.5)",True,755,431,324,0.5709,1104.63,13617.06,12512.43,1.088,31.59,-38.62,1.463,-857.19,-42.86,8,-276.04,1197.79,1.139,-93.16,0.976,227,755,431,324,0.5709,7900.33,17497.08,9596.75,1.823,40.6,-29.62,10.464,-479.24,-23.96,8,-222.0,5950.32,1.901,1950.01,1.651,227,92.31,34.52
65.0,0.09,"(0.2, 0.5)",False,876,495,381,0.5651,1194.56,16101.36,14906.81,1.08,32.53,-39.13,1.364,-1033.69,-51.68,9,-316.46,1482.78,1.147,-288.23,0.94,263,876,495,381,0.5651,9078.78,20557.03,11478.25,1.791,41.53,-30.13,10.364,-574.74,-28.74,9,-235.5,6999.94,1.903,2078.84,1.558,263,90.45,33.92
65.0,0.09,"(0.3, 0.6)",True,795,449,346,0.5648,759.56,14089.22,13329.67,1.057,31.38,-38.53,0.955,-845.87,-42.29,11,-343.46,406.3,1.042,353.26,1.094,239,795,449,346,0.5648,7915.36,18131.11,10215.75,1.775,40.38,-29.53,9.956,-328.83,-16.44,11,-244.5,5410.78,1.736,2504.58,1.876,239,95.08,48.8
65.0,0.09,"(0.3, 0.6)",False,916,516,400,0.5633,1101.67,16785.38,15683.71,1.07,32.53,-39.21,1.203,-906.05,-45.3,11,-343.46,660.83,1.059,440.84,1.098,275,916,516,400,0.5633,9346.28,21430.03,12083.75,1.773,41.53,-30.21,10.203,-415.15,-20.76,11,-244.5,6430.13,1.745,2916.15,1.845,275,95.02,53.68
65.0,0.12,None,True,633,377,256,0.5956,2071.55,12170.85,10099.3,1.205,32.28,-39.45,3.273,-619.1,-30.95,9,-316.47,1585.72,1.22,485.83,1.168,190,633,377,256,0.5956,7769.5,15565.25,7795.75,1.997,41.29,-30.45,12.274,-358.18,-17.91,9,-235.5,5573.34,1.992,2196.16,2.007,190,98.32,62.1
65.0,0.12,None,False,728,426,302,0.5852,1847.24,13867.55,12020.3,1.154,32.55,-39.8,2.537,-765.61,-38.28,8,-367.92,1693.68,1.202,153.56,1.042,219,728,426,302,0.5852,8400.0,17702.75,9302.75,1.903,41.56,-30.8,11.538,-468.68,-23.43,8,-296.0,6275.24,1.961,2124.76,1.767,219,94.37,48.71
65.0,0.12,"(0.3, 0.5)",True,542,326,216,0.6015,2457.72,10717.37,8259.65,1.298,32.88,-38.24,4.535,-643.12,-32.16,9,-316.45,1993.38,1.345,464.34,1.187,163,542,326,216,0.6015,7336.95,13652.7,6315.75,2.162,41.88,-29.24,13.537,-391.18,-19.56,9,-235.5,5405.01,2.215,1931.94,2.035,163,97.02,63.23
65.0,0.12,"(0.3, 0.5)",False,623,369,254,0.5923,2335.51,12213.21,9877.69,1.236,33.1,-38.89,3.749,-789.63,-39.48,10,-394.92,2254.18,1.337,81.33,1.026,187,623,369,254,0.5923,7943.53,15535.28,7591.75,2.046,42.1,-29.89,12.75,-507.37,-25.37,10,-305.0,6178.7,2.201,1764.83,1.721,187,94.17,50.34
65.0,0.12,"(0.2, 0.5)",True,483,296,187,0.6128,2799.72,9822.83,7023.11,1.399,33.19,-37.56,5.797,-596.17,-29.81,7,-289.46,2399.9,1.498,399.82,1.182,145,483,296,187,0.6128,7147.87,12488.12,5340.25,2.338,42.19,-28.56,14.799,-407.18,-20.36,7,-226.5,5442.54,2.472,1705.34,2.037,145,95.34,64.37
65.0,0.12,"(0.2, 0.5)",False,558,339,219,0.6075,3014.33,11444.41,8430.07,1.358,33.76,-38.49,5.402,-794.0,-39.7,9,-381.42,2881.46,1.514,132.87,1.047,168,558,339,219,0.6075,8037.17,14496.42,6459.25,2.244,42.76,-29.49,14.404,-517.68,-25.88,9,-300.5,6391.95,2.484,1645.22,1.764,168,93.0,57.54
