family,coin,oos_pass,oos_n,oos_pf,oos_wr,oos_payoff,oos_net,oos_calmar,oos_sharpe,oos_dd,oos_liq,bf_pf,bf_net,bf_dd,is_pf,is_net,params,reasons
donchian_breakout,SOL,False,19,0.7139216799302167,21.052631578947366,2.677206299738313,-3.4516969746755444,-13.455931337455397,-2.7530484342728685,5.845488321012549,0,0.604118019756222,-5.450338859338041,7.518412149012738,1.2830852961878643,11.681014363152208,"{'ema_slope_lb': 3, 'atr_p': 14, 'entry_n': 41, 'sl_atr': 1.7029108515974827, 'tp_atr': 3.6680210744990855, 'ema_len': 100, 'vol_mult': 1.0, 'atr_min_pct': 0.5441776200257877, 'trail_atr': 2.0, 'max_bars': 96}",trades 19<30; PF 0.71<1.3; Sharpe -2.75<1.0
donchian_breakout,ETH,False,4,1.3741327169461766,50.0,1.3741327169461766,0.7691371827616711,171.80800539883487,4.294739173987915,1.0297446953055327,0,1.241400444433129,0.52830712629017,1.100549810856012,1.6845700552603857,9.754726524211563,"{'ema_slope_lb': 3, 'atr_p': 14, 'entry_n': 46, 'sl_atr': 2.145185566073495, 'tp_atr': 3.031250390656286, 'ema_len': 100, 'vol_mult': 1.5, 'atr_min_pct': 0.6561651390552143, 'trail_atr': 3.0, 'max_bars': 96}",trades 4<30
donchian_breakout,BTC,False,7,1.2989798708864897,28.57142857142857,3.247449677216224,1.3235231278778583,15.793304475273297,1.4742068390544187,2.192471448499897,0,1.034012226116353,0.18098640043964592,2.7146812323319,1.4416935268878908,10.280764102674516,"{'ema_slope_lb': 3, 'atr_p': 14, 'entry_n': 22, 'sl_atr': 1.2671770792462564, 'tp_atr': 3.6463790156463585, 'ema_len': 200, 'vol_mult': 0.0, 'atr_min_pct': 0.48362954836681127, 'trail_atr': 3.0, 'max_bars': 48}",trades 7<30; PF 1.30<1.3
donchian_breakout,HYPE,False,42,0.9004611563342156,26.190476190476193,2.537663258760062,-3.210370602367369,-2.451836423852478,-0.8520360950222227,13.568748382513881,0,0.804750597791019,-6.87066531479066,15.769305007945455,1.009917851445615,0.6999320762920588,"{'ema_slope_lb': 3, 'atr_p': 14, 'entry_n': 50, 'sl_atr': 1.4570976701127076, 'tp_atr': 3.8492571526591255, 'ema_len': 200, 'vol_mult': 1.0, 'atr_min_pct': 0.737963620617993, 'trail_atr': 0.0, 'max_bars': 0}",PF 0.90<1.3; Sharpe -0.85<1.0
donchian_breakout,ZEC,False,112,0.7704777446721922,17.857142857142858,3.5441976254920844,-21.87406076876932,-4.4568839502562225,-2.621661971931259,31.019797920243136,1,0.7036979761950676,-30.47353792912147,37.964717801076795,1.306639966943425,31.86777247070728,"{'ema_slope_lb': 3, 'atr_p': 14, 'entry_n': 36, 'sl_atr': 1.5838212989222373, 'tp_atr': 5.819302376651815, 'ema_len': 100, 'vol_mult': 1.2, 'atr_min_pct': 0.7231160762851909, 'trail_atr': 0.0, 'max_bars': 0}",DD 31.0%>25.0%; PF 0.77<1.3; 1 liquidation breach(es); Sharpe -2.62<1.0
micro_pullback,SOL,False,117,0.6810163071268912,41.02564102564102,0.978960941494906,-23.70318573164209,-5.555979127638045,-5.0288231978749325,26.382022860455983,0,0.44285289258208266,-52.16794788634866,53.97837182671871,0.9507224367274887,-8.647409007940933,"{'atr_p': 14, 'impulse_atr': 2.277322365849482, 'pull_bars': 1, 'ema_len': 50, 'sl_atr': 1.8976643384401448, 'tp_atr': 2.0040737986757593, 'max_bars': 38}",DD 26.4%>25.0%; PF 0.68<1.3; Sharpe -5.03<1.0
micro_pullback,ETH,False,142,0.6517126652528835,40.845070422535215,0.943859722090383,-32.79093501658482,-6.077796238488639,-5.809972852622555,33.28698059336182,0,0.39194527098348003,-76.08967449864045,76.28189751452958,0.768031639329111,-51.65112853241066,"{'atr_p': 14, 'impulse_atr': 2.2455624692365905, 'pull_bars': 3, 'ema_len': 100, 'sl_atr': 1.912104485650159, 'tp_atr': 2.0851683077416565, 'max_bars': 37}",DD 33.3%>25.0%; PF 0.65<1.3; Sharpe -5.81<1.0
micro_pullback,BTC,False,104,0.5825860402722762,38.46153846153847,0.9321376644356418,-26.212828015122298,-6.184620815438016,-6.196900962274982,26.21282801512231,0,0.27823986334944056,-68.9981938667883,68.99819386678836,0.6686204258267315,-53.22722824420039,"{'atr_p': 14, 'impulse_atr': 2.4921421764544682, 'pull_bars': 1, 'ema_len': 100, 'sl_atr': 1.998099437782684, 'tp_atr': 2.354752520634236, 'max_bars': 10}",DD 26.2%>25.0%; PF 0.58<1.3; Sharpe -6.20<1.0
micro_pullback,HYPE,False,80,0.8907566572124382,36.25,1.566503086821874,-5.287139224967726,-1.7658673519769807,-0.8475494357420866,18.388476280518702,0,0.661473187116546,-19.938690542372882,27.532265768514456,0.9166820131276069,-10.055101136709778,"{'atr_p': 14, 'impulse_atr': 2.400424522465918, 'pull_bars': 2, 'ema_len': 50, 'sl_atr': 1.768083291199369, 'tp_atr': 3.8622178131029146, 'max_bars': 18}",PF 0.89<1.3; Sharpe -0.85<1.0
micro_pullback,ZEC,False,128,0.9031352950611807,50.0,0.9031352950611807,-6.3104251154509985,-3.605067610126676,-1.294605247728467,10.73731660110362,0,0.7219337174954715,-20.4560665937206,21.943641235808503,0.9735371701527779,-3.3842702632633186,"{'atr_p': 14, 'impulse_atr': 2.4540604622049504, 'pull_bars': 1, 'ema_len': 20, 'sl_atr': 1.6241642985001408, 'tp_atr': 1.5306394114719877, 'max_bars': 20}",PF 0.90<1.3; Sharpe -1.29<1.0
