family,tf,coins_profitable,oos_n,oos_pf,oos_wr,oos_payoff,oos_net,oos_calmar,oos_sharpe,oos_dd,oos_liq,is_pf,is_net,bf_pf,bf_net,bf_dd,per_coin,params
donchian_breakout,15m,1,1242,0.8038319009720798,28.502415458937197,2.0163918871842004,-157.50966504034537,-6.459472825351951,-8.038860472169016,153.9782945440674,0,0.7631011041827549,-477.98855840716834,0.61437954536028,-374.8696843138763,374.8696843138765,"{'SOL': np.float64(0.8270741126599827), 'ETH': np.float64(0.7092305608905833), 'BTC': np.float64(0.5807760368368907), 'HYPE': np.float64(1.1236531495816158), 'ZEC': np.float64(0.9839116787102324), 'BNB': np.float64(0.7607091195800597), 'DOGE': np.float64(0.6584009932446654), 'SUI': np.float64(0.871368068727076)}","{'ema_slope_lb': 3, 'atr_p': 14, 'entry_n': 10, 'sl_atr': 1.547557682434932, 'tp_atr': 4.27774964031719, 'ema_len': 200, 'vol_mult': 1.5, 'atr_min_pct': 0.18185100206566537, 'trail_atr': 2.0, 'max_bars': 48}"
donchian_breakout,1h,6,244,1.3067762762059765,42.21311475409836,1.7888879120877932,44.38403740461607,19.028901073323556,4.9129353904704525,14.752561365626804,0,1.1383939527898774,47.321246951883985,1.2037164298690932,31.32038594729602,17.826777152527118,"{'SOL': np.float64(0.9487852065896247), 'ETH': np.float64(1.6762505973759643), 'BTC': np.float64(1.0683888612602372), 'HYPE': np.float64(1.8308200744413692), 'ZEC': np.float64(1.7497435581602445), 'BNB': np.float64(1.318724556904748), 'DOGE': np.float64(0.653212865411792), 'SUI': np.float64(2.0669845319993674)}","{'ema_slope_lb': 3, 'atr_p': 14, 'entry_n': 25, 'sl_atr': 2.4162143208968576, 'tp_atr': 4.92797576724562, 'ema_len': 50, 'vol_mult': 1.0, 'atr_min_pct': 0.016467595436641957, 'trail_atr': 0.0, 'max_bars': 96}"
squeeze_expansion,15m,2,73,0.7263504983769608,35.61643835616438,1.3130182086045061,-12.636027330509867,-4.153247824086988,-3.171731280882406,19.782383839147986,0,1.0890612293230064,7.9484055419330515,0.5921337232513346,-21.429761076088162,25.401344999975272,"{'SOL': np.float64(0.7284226169942449), 'ETH': np.float64(1.0238546685756966), 'BTC': np.float64(0.9009813323826013), 'HYPE': np.float64(2.649201816965068), 'ZEC': np.float64(0.4932628160548442), 'BNB': np.float64(0.42675129610187834), 'DOGE': np.float64(0.7387144512396047), 'SUI': np.float64(0.11805708524776555)}","{'atr_p': 14, 'entry': 'market', 'bb_len': 30, 'bb_mult': 2.5, 'kc_mult': 1.5, 'sl_atr': 2.6726350360956417, 'tp_atr': 4.827569115202849, 'min_squeeze': 9, 'max_bars': 48, 'trail': False}"
squeeze_expansion,1h,4,59,0.903903127571542,28.8135593220339,2.2331724328238094,-3.596196600623578,-1.8248531023971735,-0.7144963033062292,12.24335689666782,0,1.7274496443483065,60.429602121798375,0.8056158570441166,-7.90197855443472,14.423574495647598,"{'SOL': np.float64(0.0), 'ETH': np.float64(3.849524282159345), 'BTC': np.float64(0.0), 'HYPE': np.float64(2.6166879937121887), 'ZEC': np.float64(1.4642665218615687), 'BNB': np.float64(0.0), 'DOGE': np.float64(0.5992013433266797), 'SUI': np.float64(1.1630473917499278)}","{'atr_p': 14, 'entry': 'market', 'bb_len': 20, 'bb_mult': 2.5, 'kc_mult': 1.5, 'sl_atr': 2.2878069027946117, 'tp_atr': 4.927143072560112, 'min_squeeze': 9, 'max_bars': 96, 'trail': True}"
reclaim_pullback,15m,2,1863,0.7819177455795069,22.544283413848632,2.6864459687410203,-349.64976488187045,-6.065797535075597,-10.449825885049032,354.5383411087557,0,0.7847026568777762,-781.7515277377914,0.5616573116235841,-902.6647597203075,907.419387686136,"{'SOL': np.float64(0.8468220737686423), 'ETH': np.float64(0.7263942309527954), 'BTC': np.float64(0.6845393142603077), 'HYPE': np.float64(1.1887608222421504), 'ZEC': np.float64(1.0719261999334966), 'BNB': np.float64(0.7052389046600454), 'DOGE': np.float64(0.5767080993790078), 'SUI': np.float64(0.6228310103013684)}","{'atr_p': 14, 'entry': 'market', 'fast': 20, 'slow': 50, 'sl_atr': 1.116167224336399, 'tp_atr': 5.46470458309974, 'slope_lb': 10, 'max_bars': 24, 'trail': False}"
reclaim_pullback,1h,6,200,1.3778456361072915,40.0,2.0667684541609375,35.33768520041132,15.647024602289562,4.272108512203191,16.28299015906829,0,1.0269157539233693,8.052818452322725,1.2579631272106695,25.667957822183624,17.792788803601752,"{'SOL': np.float64(1.6082599951591097), 'ETH': np.float64(1.4900164706556565), 'BTC': np.float64(2.069808956881282), 'HYPE': np.float64(1.191187655580663), 'ZEC': np.float64(1.59960840168862), 'BNB': np.float64(0.9740402480744064), 'DOGE': np.float64(0.6961509652774758), 'SUI': np.float64(1.5623709984752674)}","{'atr_p': 14, 'entry': 'market', 'fast': 10, 'slow': 200, 'sl_atr': 2.835622925189553, 'tp_atr': 4.080811095585404, 'slope_lb': 20, 'max_bars': 48, 'trail': True}"
failed_breakout,15m,1,1760,0.8584431064705488,39.09090909090909,1.3375741426401575,-149.7401939499635,-4.829065374411398,-7.14106319375409,189.45496088733847,3,0.7846583427356519,-545.4968980972086,0.6631407947140008,-419.96725272077697,412.93614938283037,"{'SOL': np.float64(0.8920632828461901), 'ETH': np.float64(0.9044602685188058), 'BTC': np.float64(0.837936489169476), 'HYPE': np.float64(0.8194404326358574), 'ZEC': np.float64(0.917589309694527), 'BNB': np.float64(0.7210195437034936), 'DOGE': np.float64(0.8127956540299537), 'SUI': np.float64(1.0183862179408338)}","{'atr_p': 14, 'lookback': 25, 'sl_atr': 1.9408571676918993, 'tp_atr': 4.061978796339918, 'max_bars': 24}"
failed_breakout,1h,0,429,0.6646471199194453,34.731934731934736,1.2490012991774808,-90.4867024479592,-6.056628987108386,-9.558125671409087,92.7536232264966,3,0.9205991269286906,-46.88850882068987,0.5852527541615818,-120.24548287736923,120.96077910683579,"{'SOL': np.float64(0.7599161348249043), 'ETH': np.float64(0.8322034538654588), 'BTC': np.float64(0.6472425634769436), 'HYPE': np.float64(0.6455065627527785), 'ZEC': np.float64(0.4796028392500534), 'BNB': np.float64(0.7456871004122754), 'DOGE': np.float64(0.5607738200956318), 'SUI': np.float64(0.725243610272171)}","{'atr_p': 14, 'lookback': 25, 'sl_atr': 1.9408571676918993, 'tp_atr': 4.061978796339918, 'max_bars': 24}"
micro_pullback,15m,4,264,0.8864521493934345,34.090909090909086,1.713807488827307,-19.953414017061338,-3.6350218372890044,-2.210177652641638,33.79758753853942,0,0.914813774061989,-39.38585624612308,0.7099908117688335,-59.45025800446634,59.450258004466406,"{'SOL': np.float64(1.099086143995906), 'ETH': np.float64(0.8173012328576843), 'BTC': np.float64(1.12170551478138), 'HYPE': np.float64(0.5790054001653597), 'ZEC': np.float64(1.0196707057956922), 'BNB': np.float64(0.7461915769404085), 'DOGE': np.float64(1.108601075267617), 'SUI': np.float64(0.5270830408067614)}","{'atr_p': 14, 'impulse_atr': 2.4966827244573366, 'pull_bars': 2, 'ema_len': 50, 'sl_atr': 1.7312282347616248, 'tp_atr': 3.693335934423686, 'max_bars': 35}"
micro_pullback,1h,5,68,1.102040865228217,45.588235294117645,1.315339097207872,3.7389030687832667,3.5127845215674376,1.0021504196540059,6.994660701506347,0,0.4470341590732709,-59.04445504365644,0.9642270330236642,-1.4339464148618515,8.33858462354041,"{'SOL': np.float64(1.3336884164008167), 'ETH': np.float64(1.6420478354798107), 'BTC': np.float64(0.8961970861019803), 'HYPE': np.float64(1.280355404088515), 'ZEC': np.float64(1.7919366200865054), 'BNB': np.float64(0.8126552865076038), 'DOGE': np.float64(2.5179406930236223), 'SUI': np.float64(0.14064204856924692)}","{'atr_p': 14, 'impulse_atr': 2.4444241516544927, 'pull_bars': 3, 'ema_len': 100, 'sl_atr': 1.5309419794688588, 'tp_atr': 2.001732795686691, 'max_bars': 31}"
