family,coin,tf,n,pf,wr,payoff,net_pct,calmar,sharpe,maxdd,liq
regime_mr,SOL,3m,2566,0.9088962798239625,79.89088074824629,0.22877584409227544,-47.238982622086674,-2.7373224873153026,-2.8826443738529184,52.79086036227504,0
bb_revert,SOL,3m,3222,0.5918416003402389,35.16449410304159,1.0912242745902552,-1010.6460262311164,-3.0876077610288024,-0.1029546028450193,996.179162300002,0
kc_revert,SOL,3m,2434,0.5856672484761662,32.00493015612161,1.2442609707677215,-799.439013326108,-3.0526267051779934,-2.2464344760315846,797.5795582466098,0
rsi_snapback,SOL,3m,1294,0.5485565280593603,39.48995363214838,0.8405474784158105,-409.2816344903356,-3.0311068111529003,-3.734435745234054,411.96628728539616,0
stoch_snapback,SOL,3m,3714,0.5720146184656568,40.87237479806139,0.8274994085313455,-1120.3534837211241,-3.2619643490777896,-4.140571292705315,1045.1800233179463,0
vwap_revert,SOL,3m,2790,0.5172032022822608,38.13620071684588,0.8389969240029909,-985.3847275640773,-3.0734987511001455,-2.110035288123686,977.2660136423791,0
vwap_reclaim,SOL,3m,1270,0.4964060241707667,31.88976377952756,1.0602252121178104,-525.4608973273326,-3.042564645815603,-3.7608131104510982,525.460897327333,0
wick_fade,SOL,3m,1029,0.5226628372076887,46.35568513119534,0.6048425285925453,-305.7531396233071,-3.058039135567382,-3.6831563720043325,304.9632848079261,0
atr_climax_fade,SOL,3m,1881,0.4239594198199256,27.166400850611378,1.1366426715328728,-1023.6308649974919,-3.086634300722795,0.5271453620364996,1009.9981303486102,0
micro_pullback,SOL,3m,1691,0.5100833196741297,25.310467179183917,1.5052225064215556,-796.7619116353844,-3.056831719530396,-3.9287051204628303,793.1396217794423,0
orb_fade,SOL,3m,1589,0.4144242952667279,39.710509754562615,0.6291893421006741,-743.4798579799752,-3.0436746464681557,-2.02941602034605,743.4798579799753,0
range_fade,SOL,3m,1950,0.8568088135910767,36.97435897435897,1.4604965768424871,-212.073345118056,-3.2069498997694548,-1.9150211503566654,201.30054701863082,0
failed_breakout,SOL,3m,3496,0.48719160264576156,24.227688787185357,1.5236960512498492,-1775.7907458417008,-3.1380405208572295,1.7525269039647642,1722.1505454839241,1
sweep_reversal,SOL,3m,2699,0.6340680509097512,40.533530937384214,0.9302369485467555,-684.3513065025511,-3.1477653951895386,-4.282180482083984,661.617635265707,1
squeeze_expansion,SOL,3m,874,0.5617647076874253,25.74370709382151,1.620379090173951,-342.96767176058944,-3.306184349397228,-1.9673072865935701,316.47290212543993,0
reclaim_pullback,SOL,3m,1904,0.5792721132794717,26.6281512605042,1.5961403200225284,-706.9489428866754,-3.1940565776165655,-1.7179183557171946,674.4260880853151,0
mr_fade2,SOL,3m,1333,0.949867644923029,46.88672168042011,1.0760100681688072,-40.09190438309863,-2.1805892684841575,-1.3073091155918788,56.04806281141321,1
donchian_breakout,SOL,3m,1849,0.5847241861974305,26.122228231476473,1.6536920048565011,-684.4277312638794,-3.4203673994268033,-4.5647878121806595,609.8129355566009,0
regime_mr,SOL,5m,2914,1.1691287123658496,85.34660260809883,0.20073098519510166,72.8111350578911,7.602600994606505,3.6847031822976932,17.561199014724334,0
bb_revert,SOL,5m,3131,0.6436849822708347,36.25039923347174,1.1319781714648334,-803.9415200578585,-1.9042239703531703,-1.9213509267384505,771.0429010433133,2
kc_revert,SOL,5m,2261,0.6860030235346802,34.23264042459089,1.3179412092972476,-520.0389487474928,-2.0348093995664005,-1.2691925407945368,466.72559026392844,3
rsi_snapback,SOL,5m,1304,0.659731161210475,42.63803680981595,0.8875519938586964,-278.98086198713554,-1.8527657578643038,-1.5178803951328583,274.96710384136367,1
stoch_snapback,SOL,5m,3668,0.6320938576516115,42.284623773173394,0.8627612486450429,-884.4727759695555,-1.845339430588046,-2.7594639947986646,875.1646905094736,0
vwap_revert,SOL,5m,2814,0.6455911139285491,45.45131485429993,0.7748102891949358,-618.5317246215845,-1.8862883257930936,-1.8613976442009212,598.9962638083025,2
vwap_reclaim,SOL,5m,1552,0.5640194466054156,33.50515463917525,1.1193616709553633,-515.4040767711208,-1.8040279511857877,-1.9875907071578804,522.4115132904792,0
wick_fade,SOL,5m,1121,0.5709905790187257,46.56556645851918,0.6552171586824075,-285.81988569551197,-1.8234263056238824,-3.6746842059332128,286.658789497238,0
atr_climax_fade,SOL,5m,1815,0.5637626143342706,31.735537190082646,1.2126768735419466,-657.2235998963997,-1.9062511620729994,-1.7448425641328664,630.0855259322487,1
micro_pullback,SOL,5m,1644,0.529454593539516,25.18248175182482,1.5730172706608807,-701.3372845587553,-1.8194828652361195,-3.412338783961092,704.2341736915611,0
orb_fade,SOL,5m,2020,0.4399981403994874,42.524752475247524,0.5946889883629859,-813.8815068519053,-1.8449748210154842,-1.4267685140765662,805.5454255626317,0
range_fade,SOL,5m,1909,0.85207838234533,37.087480356207436,1.4454041485829676,-203.8506394338954,-1.849751990446386,1.0149645331751413,201.36758098332942,1
failed_breakout,SOL,5m,3623,0.6076962418949751,27.43582666298647,1.6072770824365086,-1271.7765240842782,-1.8346598936758018,0.2706670530504097,1265.9154895155937,0
sweep_reversal,SOL,5m,2801,0.7089659283836799,41.87790074973224,0.9839697624967014,-532.6152537300444,-1.8511292239854855,-2.492930021192827,525.4347543468342,1
squeeze_expansion,SOL,5m,936,0.5957893254686422,26.175213675213676,1.6803690771380888,-323.12566893877255,-1.8729509699730973,-1.8832669783683604,315.87306768191377,0
reclaim_pullback,SOL,5m,1849,0.6229406707473456,27.528393726338564,1.6399616872326976,-582.204949282916,-1.91213838372017,-3.714901589609686,557.0270736995717,0
mr_fade2,SOL,5m,1287,0.8350697664879649,43.97824397824398,1.063754949890146,-128.91118802245248,-1.821945287865254,-1.1273950515343678,129.4306764038507,2
donchian_breakout,SOL,5m,1827,0.665978393321011,27.805145046524355,1.7291840566740426,-508.8012609521897,-1.85397719450933,-1.164238098479416,501.789681619041,0
regime_mr,ETH,3m,2608,0.886168790927099,80.329754601227,0.21699503090482183,-62.27442754380126,-2.621991194303747,-3.6683156638149113,72.68625579432802,0
bb_revert,ETH,3m,3268,0.4887037164725242,31.548347613219097,1.0603590822008115,-1406.1200728552747,-3.2148310956671353,-2.011948843910199,1330.9812759954496,0
kc_revert,ETH,3m,2494,0.5109072735381989,29.67121090617482,1.2109883213324333,-1044.526580469367,-3.101121506561902,-2.6840760618291584,1024.8745224316747,0
