sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,zec_score,zec_net_pnl,zec_pf,zec_n,zec_dd,zec_wr,sol_score,sol_net_pnl,sol_pf,sol_n,sol_dd,sol_wr,combined_score,combined_net,both_profitable,pnl_spread
80.0,0.15,"(0.3, 0.6)",True,97.19,20744.31,3.313,848,-253.5,0.6934,97.13,5914.13,2.748,317,-269.87,0.6467,97.16,26658.440000000002,True,14830.18
95.0,0.15,"(0.3, 0.6)",False,98.34,22364.36,3.01,961,-371.19,0.6899,95.87,6174.98,2.415,357,-471.87,0.6499,97.105,28539.34,True,16189.380000000001
85.0,0.15,"(0.3, 0.6)",False,97.88,22582.35,3.055,970,-325.0,0.6835,96.32,6073.34,2.437,357,-407.37,0.6443,97.1,28655.69,True,16509.01
100.0,0.18,"(0.3, 0.6)",False,98.53,19356.22,3.548,707,-356.19,0.7185,95.62,4975.8,3.358,224,-180.5,0.692,97.075,24332.02,True,14380.420000000002
120.0,0.15,"(0.3, 0.5)",True,96.34,20043.8,2.69,908,-559.73,0.696,97.78,6374.38,2.833,322,-429.87,0.6708,97.06,26418.18,True,13669.419999999998
110.0,0.12,"(0.2, 0.5)",True,96.11,20750.47,2.372,1076,-535.02,0.6822,97.99,6330.75,2.026,466,-506.09,0.6416,97.05,27081.22,True,14419.720000000001
70.0,0.18,,True,97.11,20479.91,3.369,831,-316.0,0.6859,96.93,4825.1,3.008,244,-190.38,0.6598,97.02000000000001,25305.010000000002,True,15654.81
60.0,0.12,,True,95.22,26033.43,2.432,1489,-372.0,0.6293,98.79,8114.84,2.059,639,-414.75,0.5915,97.005,34148.270000000004,True,17918.59
75.0,0.12,"(0.3, 0.6)",False,98.01,25848.48,2.652,1289,-382.5,0.6625,95.96,7143.2,1.954,572,-524.37,0.6031,96.985,32991.68,True,18705.28
70.0,0.12,"(0.3, 0.5)",True,97.63,23145.39,2.468,1237,-417.45,0.6483,96.34,7147.95,2.099,539,-431.68,0.6048,96.985,30293.34,True,15997.439999999999
95.0,0.15,"(0.3, 0.6)",True,98.29,20067.98,3.137,836,-303.5,0.701,95.67,5744.77,2.542,315,-329.87,0.6508,96.98,25812.75,True,14323.21
82.5,0.12,"(0.2, 0.5)",True,96.42,22586.63,2.616,1106,-378.0,0.6691,97.51,6627.11,2.131,476,-341.09,0.6239,96.965,29213.74,True,15959.52
65.0,0.12,"(0.3, 0.5)",True,96.8,23465.15,2.531,1243,-341.95,0.6436,97.02,7336.95,2.162,542,-391.18,0.6015,96.91,30802.100000000002,True,16128.2
110.0,0.15,"(0.3, 0.6)",False,98.54,21336.89,2.799,948,-446.19,0.6951,95.26,6644.08,2.736,348,-389.87,0.6638,96.9,27980.97,True,14692.81
85.0,0.12,"(0.2, 0.5)",True,96.32,22209.53,2.567,1103,-390.5,0.67,97.47,6473.36,2.076,476,-356.09,0.6239,96.895,28682.89,True,15736.169999999998
60.0,0.12,"(0.3, 0.6)",False,96.8,26464.55,2.797,1301,-307.5,0.6495,96.97,7903.92,2.146,583,-522.87,0.5935,96.88499999999999,34368.47,True,18560.629999999997
120.0,0.12,"(0.3, 0.6)",False,98.72,24091.44,2.43,1234,-514.32,0.6896,95.01,6998.78,1.888,548,-518.37,0.6387,96.86500000000001,31090.219999999998,True,17092.66
90.0,0.15,"(0.3, 0.5)",True,97.45,21372.2,2.977,929,-332.49,0.6857,96.26,5620.89,2.389,333,-309.87,0.6426,96.855,26993.09,True,15751.310000000001
110.0,0.12,"(0.3, 0.6)",False,97.81,23885.1,2.418,1241,-539.5,0.6833,95.87,7150.53,1.935,549,-464.09,0.6321,96.84,31035.629999999997,True,16734.57
100.0,0.15,"(0.3, 0.6)",False,98.91,21911.99,2.917,956,-396.19,0.6904,94.72,6318.47,2.523,352,-349.87,0.6534,96.815,28230.460000000003,True,15593.52
120.0,0.15,"(0.3, 0.5)",False,95.91,23405.58,2.749,1044,-509.11,0.6935,97.7,7196.17,2.847,366,-429.87,0.6749,96.805,30601.75,True,16209.410000000002
90.0,0.12,"(0.2, 0.5)",True,96.88,22044.7,2.546,1095,-415.5,0.6731,96.65,6432.86,2.054,475,-386.09,0.6295,96.765,28477.56,True,15611.84
65.0,0.12,,True,95.2,25495.36,2.363,1477,-402.0,0.633,98.32,7769.5,1.997,633,-358.18,0.5956,96.75999999999999,33264.86,True,17725.86
120.0,0.09,"(0.3, 0.6)",True,99.65,21374.8,2.002,1350,-757.82,0.6704,93.83,7492.43,1.723,722,-470.99,0.6094,96.74000000000001,28867.23,True,13882.369999999999
60.0,0.18,,True,97.09,21168.87,3.594,841,-276.0,0.6861,96.35,4962.1,3.222,243,-150.38,0.6584,96.72,26130.97,True,16206.769999999999
75.0,0.15,"(0.3, 0.5)",True,96.74,21639.11,3.061,943,-263.09,0.6734,96.65,6229.89,2.796,336,-249.87,0.6399,96.695,27869.0,True,15409.220000000001
82.5,0.15,"(0.3, 0.6)",False,97.62,22941.44,3.126,972,-315.0,0.6831,95.76,6098.34,2.451,357,-392.37,0.6443,96.69,29039.78,True,16843.1
75.0,0.15,"(0.3, 0.6)",False,97.62,22988.41,3.152,979,-285.0,0.6772,95.7,6452.34,2.663,360,-347.37,0.6417,96.66,29440.75,True,16536.07
65.0,0.09,"(0.3, 0.6)",False,98.27,27310.76,2.215,1688,-483.38,0.6226,95.02,9346.28,1.773,916,-415.15,0.5633,96.645,36657.04,True,17964.479999999996
70.0,0.09,"(0.3, 0.6)",True,98.3,22897.63,2.144,1438,-630.2,0.6293,94.95,7930.75,1.771,788,-373.83,0.5698,96.625,30828.38,True,14966.880000000001
75.0,0.12,"(0.2, 0.5)",True,97.29,22249.97,2.571,1118,-456.32,0.6601,95.92,6841.37,2.212,480,-358.5,0.6167,96.605,29091.34,True,15408.600000000002
85.0,0.15,"(0.3, 0.5)",True,96.77,21405.39,2.995,934,-307.49,0.682,96.44,5815.89,2.51,333,-289.87,0.6426,96.60499999999999,27221.28,True,15589.5
60.0,0.12,"(0.2, 0.5)",True,96.72,22308.21,2.657,1128,-333.32,0.6427,96.49,7192.59,2.324,487,-542.25,0.6078,96.60499999999999,29500.8,True,15115.619999999999
120.0,0.18,"(0.3, 0.6)",False,97.95,18843.57,3.305,700,-476.19,0.7286,95.25,5189.55,3.625,224,-220.5,0.7054,96.6,24033.12,True,13654.02
90.0,0.18,"(0.3, 0.6)",False,98.61,20151.91,3.871,711,-283.5,0.7187,94.54,5065.31,3.501,225,-160.5,0.6889,96.575,25217.22,True,15086.599999999999
70.0,0.15,"(0.3, 0.5)",True,96.95,21382.07,3.017,943,-243.09,0.667,96.2,6350.39,2.896,337,-232.5,0.638,96.575,27732.46,True,15031.68
100.0,0.12,"(0.2, 0.5)",True,96.84,21058.83,2.42,1083,-455.02,0.6759,96.26,6221.85,1.991,471,-446.09,0.6327,96.55000000000001,27280.68,True,14836.980000000001
90.0,0.12,"(0.3, 0.5)",True,97.54,23164.86,2.458,1210,-415.5,0.6686,95.5,6296.94,1.862,529,-399.87,0.6163,96.52000000000001,29461.8,True,16867.920000000002
65.0,0.09,"(0.3, 0.6)",True,97.92,23791.4,2.241,1448,-564.7,0.6271,95.08,7915.36,1.775,795,-328.83,0.5648,96.5,31706.760000000002,True,15876.04
70.0,0.15,"(0.3, 0.6)",False,97.45,22905.78,3.148,979,-265.0,0.6721,95.54,6490.34,2.704,361,-424.87,0.6371,96.495,29396.12,True,16415.44
82.5,0.15,"(0.3, 0.5)",True,96.43,21758.23,3.064,936,-294.99,0.6816,96.52,5913.39,2.576,333,-279.87,0.6426,96.475,27671.62,True,15844.84
