symbol,action,signal_price,created_at,status,filled_at,fill_price,era
SOL-USDT,buy,81.91,2026-04-13 00:49:12.103832+00:00,filled,2026-04-13 01:14:10.871423+00:00,81.98,v1
ZEC-USDT,sell,360.79,2026-04-13 01:16:34.305465+00:00,filled,2026-04-13 01:35:32.282666+00:00,362.97,v1
ZEC-USDT,buy,364.44,2026-04-13 02:00:35.648119+00:00,filled,2026-04-13 02:12:43.585757+00:00,362.94,v1
SOL-USDT,sell,81.9,2026-04-13 02:44:25.801350+00:00,expired,,,v1
ZEC-USDT,sell,358.54,2026-04-13 03:10:05.647906+00:00,filled,2026-04-13 03:24:06.503516+00:00,360.76,v1
SOL-USDT,buy,82.06,2026-04-13 04:36:12.233947+00:00,filled,2026-04-13 04:51:02.108197+00:00,82.0,v1
ZEC-USDT,sell,374.85,2026-04-13 06:03:29.038480+00:00,cancelled,,,v1
ZEC-USDT,sell,376.55,2026-04-13 06:05:02.423125+00:00,expired,,,v1
ZEC-USDT,sell,365.27,2026-04-13 07:10:05.326212+00:00,expired,,,v1
SOL-USDT,sell,81.87,2026-04-13 08:18:25.257712+00:00,expired,,,v1
ZEC-USDT,buy,362.25,2026-04-13 10:38:36.263643+00:00,expired,,,v1
SOL-USDT,buy,82.11,2026-04-13 12:09:12.163060+00:00,filled,2026-04-13 12:25:42.264941+00:00,81.95,v1
ZEC-USDT,sell,362.31,2026-04-13 12:26:34.592432+00:00,filled,2026-04-13 12:47:47.519349+00:00,361.84,v1
ZEC-USDT,buy,367.11,2026-04-13 13:19:36.051803+00:00,filled,2026-04-13 13:34:11.450156+00:00,365.8,v1
ZEC-USDT,sell,361.8,2026-04-13 14:08:34.006160+00:00,expired,,,v1
ZEC-USDT,buy,343.98,2026-04-13 15:37:01.492305+00:00,filled,2026-04-13 15:58:52.846491+00:00,348.26,v1
SOL-USDT,sell,82.36,2026-04-13 15:51:24.853112+00:00,filled,2026-04-13 16:00:18.123658+00:00,82.67,v1
ZEC-USDT,buy,352.07,2026-04-13 16:40:36.071869+00:00,filled,2026-04-13 17:00:40.068110+00:00,350.4,v1
SOL-USDT,sell,83.09,2026-04-13 17:52:25.133299+00:00,expired,,,v1
SOL-USDT,buy,83.5,2026-04-13 19:24:12.248661+00:00,cancelled,,,v1
SOL-USDT,buy,83.48,2026-04-13 19:26:11.888449+00:00,expired,,,v1
ZEC-USDT,sell,372.96,2026-04-13 21:57:29.269384+00:00,cancelled,,,v1
ZEC-USDT,sell,372.9,2026-04-13 22:01:28.621267+00:00,cancelled,,,v1
ZEC-USDT,sell,372.53,2026-04-13 22:05:02.698204+00:00,cancelled,,,v1
ZEC-USDT,sell,374.68,2026-04-13 22:10:02.028695+00:00,cancelled,,,v1
ZEC-USDT,sell,378.9,2026-04-13 22:15:05.153801+00:00,cancelled,,,v1
SOL-USDT,sell,84.97,2026-04-13 22:15:19.301882+00:00,cancelled,,,v1
ZEC-USDT,sell,380.51,2026-04-13 22:20:03.834900+00:00,cancelled,,,v1
SOL-USDT,sell,85.71,2026-04-13 22:20:03.981150+00:00,cancelled,,,v1
SOL-USDT,sell,85.67,2026-04-13 22:25:02.859597+00:00,cancelled,,,v1
ZEC-USDT,sell,379.38,2026-04-13 22:26:28.952154+00:00,cancelled,,,v1
SOL-USDT,sell,85.78,2026-04-13 22:30:02.172926+00:00,cancelled,,,v1
ZEC-USDT,sell,381.07,2026-04-13 22:30:05.673084+00:00,filled,2026-04-13 22:40:43.074190+00:00,377.11,v1
SOL-USDT,sell,85.97,2026-04-13 22:35:04.446903+00:00,cancelled,,,v1
SOL-USDT,sell,86.03,2026-04-13 22:53:19.326405+00:00,cancelled,,,v1
SOL-USDT,sell,86.27,2026-04-13 22:55:03.810407+00:00,cancelled,,,v1
SOL-USDT,sell,86.25,2026-04-13 23:00:08.013995+00:00,cancelled,,,v1
SOL-USDT,sell,86.34,2026-04-13 23:05:03.881175+00:00,cancelled,,,v1
SOL-USDT,sell,86.35,2026-04-13 23:10:03.307152+00:00,filled,2026-04-13 23:17:52.648590+00:00,86.1,v1
ZEC-USDT,sell,366.93,2026-04-13 23:17:33.937071+00:00,cancelled,,,v1
SOL-USDT,sell,86.49,2026-04-13 23:26:19.800458+00:00,cancelled,,,v1
ZEC-USDT,sell,366.37,2026-04-13 23:27:34.425691+00:00,filled,2026-04-13 23:56:40.793942+00:00,367.52,v1
SOL-USDT,sell,86.58,2026-04-13 23:30:06.902236+00:00,filled,2026-04-13 23:40:12.134124+00:00,86.48,v1
SOL-USDT,sell,85.91,2026-04-14 00:47:25.194735+00:00,expired,,,v1
SOL-USDT,buy,86.26,2026-04-14 02:22:12.360704+00:00,filled,2026-04-14 02:30:43.793214+00:00,86.08,v1
SOL-USDT,buy,86.25,2026-04-14 02:41:12.328950+00:00,cancelled,,,v1
SOL-USDT,buy,86.24,2026-04-14 02:48:12.951109+00:00,expired,,,v1
SOL-USDT,sell,85.68,2026-04-14 04:42:25.120831+00:00,filled,2026-04-14 04:54:38.029163+00:00,85.78,v1
ZEC-USDT,buy,364.67,2026-04-14 05:12:35.618804+00:00,filled,2026-04-14 05:41:15.540676+00:00,365.95,v1
SOL-USDT,buy,86.14,2026-04-14 07:10:05.431694+00:00,filled,2026-04-14 07:32:51.719418+00:00,85.94,v1
SOL-USDT,buy,86.25,2026-04-14 08:34:12.183925+00:00,expired,,,v1
ZEC-USDT,sell,373.58,2026-04-14 10:23:34.257722+00:00,expired,,,v1
SOL-USDT,sell,85.8,2026-04-14 11:11:24.993325+00:00,filled,2026-04-14 11:15:15.377376+00:00,86.02,v1
SOL-USDT,sell,85.78,2026-04-14 11:28:25.900369+00:00,expired,,,v1
SOL-USDT,buy,86.11,2026-04-14 13:03:01.723265+00:00,expired,,,v1
SOL-USDT,sell,85.31,2026-04-14 15:09:25.741942+00:00,filled,2026-04-14 15:33:20.408989+00:00,85.8,v1
ZEC-USDT,buy,352.65,2026-04-14 16:52:01.182122+00:00,cancelled,,,v1
ZEC-USDT,buy,352.55,2026-04-14 16:56:00.493562+00:00,cancelled,,,v1
ZEC-USDT,buy,352.51,2026-04-14 17:00:06.535302+00:00,cancelled,,,v1
ZEC-USDT,buy,351.34,2026-04-14 17:05:02.137838+00:00,cancelled,,,v1
ZEC-USDT,buy,351.71,2026-04-14 17:10:05.098115+00:00,cancelled,,,v1
ZEC-USDT,buy,351.54,2026-04-14 17:15:07.223745+00:00,filled,2026-04-14 17:23:35.143188+00:00,353.29,v1
ZEC-USDT,buy,356.27,2026-04-14 18:10:05.395761+00:00,filled,2026-04-14 18:28:56.654419+00:00,354.02,v1
ZEC-USDT,sell,352.32,2026-04-14 18:37:34.008830+00:00,expired,,,v1
ZEC-USDT,buy,349.98,2026-04-14 21:05:04.535713+00:00,expired,,,v1
SOL-USDT,buy,83.89,2026-04-15 00:23:01.701410+00:00,filled,2026-04-15 00:32:40.783428+00:00,83.73,v1
SOL-USDT,buy,83.98,2026-04-15 01:52:01.525193+00:00,expired,,,v1
ZEC-USDT,sell,355.02,2026-04-15 02:34:34.068120+00:00,expired,,,v1
ZEC-USDT,buy,357.32,2026-04-15 04:01:36.116107+00:00,filled,2026-04-15 04:06:57.365602+00:00,355.37,v1
SOL-USDT,buy,83.55,2026-04-15 05:01:01.820646+00:00,filled,2026-04-15 05:07:01.709908+00:00,83.45,v1
SOL-USDT,sell,82.95,2026-04-15 05:41:03.788752+00:00,expired,,,v1
ZEC-USDT,buy,353.93,2026-04-15 08:06:36.172227+00:00,cancelled,,,v1
ZEC-USDT,buy,353.31,2026-04-15 08:10:35.662621+00:00,expired,,,v1
SOL-USDT,buy,83.33,2026-04-15 10:08:01.703621+00:00,filled,2026-04-15 10:12:44.403554+00:00,83.14,v1
ZEC-USDT,sell,355.93,2026-04-15 12:40:34.553429+00:00,filled,2026-04-15 12:50:41.379524+00:00,357.28,v1
ZEC-USDT,sell,355.62,2026-04-15 13:05:33.987661+00:00,cancelled,,,v1
ZEC-USDT,sell,355.8,2026-04-15 13:32:34.876979+00:00,cancelled,,,v1
ZEC-USDT,sell,355.81,2026-04-15 13:38:33.926428+00:00,cancelled,,,v1
ZEC-USDT,sell,356.25,2026-04-15 13:42:34.391096+00:00,filled,2026-04-15 13:49:45.497177+00:00,357.28,v1
SOL-USDT,sell,83.26,2026-04-15 13:44:04.100176+00:00,filled,2026-04-15 13:57:25.262148+00:00,83.43,v1
