sl_loss_usdt,min_abs_slope_pct,block_body_band,block_sunday,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
120.0,0.12,"(0.3, 0.6)",True,1074,745,329,0.6937,11133.37,29014.69,17881.32,1.623,38.95,-54.35,10.366,-937.58,-46.88,4,-294.0,7749.95,1.611,3383.42,1.652,323,1074,745,329,0.6937,20800.69,35721.19,14920.5,2.394,47.95,-45.35,19.367,-514.32,-25.72,4,-258.0,14509.84,2.365,6290.84,2.466,323,99.75,91.62
120.0,0.12,"(0.3, 0.6)",False,1234,851,383,0.6896,12983.98,33274.75,20290.77,1.64,39.1,-52.98,10.522,-793.12,-39.66,4,-294.0,9480.01,1.666,3503.97,1.579,371,1234,851,383,0.6896,24091.44,40934.94,16843.5,2.43,48.1,-43.98,19.523,-514.32,-25.72,4,-258.0,17247.92,2.453,6843.53,2.375,371,98.72,90.18
120.0,0.15,None,True,1070,732,338,0.6841,11535.45,29117.9,17582.45,1.656,39.78,-52.02,10.781,-982.69,-49.13,5,-307.5,9562.5,1.827,1972.95,1.327,321,1070,732,338,0.6841,21165.87,35706.87,14541.0,2.456,48.78,-43.02,19.781,-598.3,-29.92,5,-262.5,16303.24,2.725,4862.63,1.956,321,95.03,83.67
120.0,0.15,None,False,1228,841,387,0.6849,13744.21,33668.48,19924.27,1.69,40.03,-51.48,11.192,-1015.09,-50.75,5,-534.0,11547.74,1.887,2196.47,1.318,369,1228,841,387,0.6849,24797.22,41238.72,16441.5,2.508,49.04,-42.48,20.193,-605.11,-30.26,5,-498.0,19278.92,2.809,5518.3,1.954,369,94.59,83.72
120.0,0.15,"(0.3, 0.5)",True,908,632,276,0.696,11871.16,26216.78,14345.62,1.828,41.48,-51.98,13.074,-739.63,-36.98,5,-307.5,9331.7,1.978,2539.46,1.528,273,908,632,276,0.696,20043.8,31905.8,11862.0,2.69,50.48,-42.98,22.075,-559.73,-27.99,5,-262.5,15046.9,2.924,4996.9,2.236,273,96.34,90.2
120.0,0.15,"(0.3, 0.5)",False,1044,724,320,0.6935,14008.46,30268.3,16259.85,1.862,41.81,-50.81,13.418,-634.97,-31.75,5,-534.0,11173.47,2.041,2834.99,1.513,314,1044,724,320,0.6935,23405.58,36785.58,13380.0,2.749,50.81,-41.81,22.419,-509.11,-25.46,5,-498.0,17743.97,3.022,5661.6,2.23,314,95.91,90.28
120.0,0.15,"(0.2, 0.5)",True,813,572,241,0.7036,11859.67,24532.79,12673.12,1.936,42.89,-52.59,14.588,-726.12,-36.31,5,-307.5,9252.21,2.089,2607.46,1.624,244,813,572,241,0.7036,19177.57,29682.07,10504.5,2.826,51.89,-43.59,23.589,-555.23,-27.76,5,-262.5,14373.49,3.056,4804.08,2.368,244,96.41,92.77
120.0,0.15,"(0.2, 0.5)",False,940,660,280,0.7021,14076.56,28476.49,14399.93,1.978,43.15,-51.43,14.975,-642.29,-32.11,6,-534.0,11169.85,2.174,2906.71,1.595,282,940,660,280,0.7021,22537.96,34417.96,11880.0,2.897,52.15,-42.43,23.977,-498.0,-24.9,6,-498.0,17092.43,3.188,5445.53,2.338,282,95.89,92.87
120.0,0.15,"(0.3, 0.6)",True,825,584,241,0.7079,11592.73,24085.83,12493.09,1.928,41.24,-51.84,14.052,-563.7,-28.18,4,-294.0,8319.01,1.947,3273.73,1.884,248,825,584,241,0.7079,19018.26,29342.76,10324.5,2.842,50.24,-42.84,23.052,-354.18,-17.71,4,-258.0,13512.09,2.864,5506.18,2.791,248,99.12,96.9
120.0,0.15,"(0.3, 0.6)",False,947,663,284,0.7001,13098.16,27491.98,14393.82,1.91,41.47,-50.68,13.831,-619.1,-30.96,4,-534.0,9486.18,1.948,3611.98,1.823,285,947,663,284,0.7001,21621.9,33459.9,11838.0,2.826,50.47,-41.68,22.832,-529.19,-26.46,4,-498.0,15444.38,2.88,6177.52,2.705,285,98.8,96.11
120.0,0.18,None,True,806,574,232,0.7122,11765.88,24017.54,12251.66,1.96,41.84,-52.81,14.598,-570.81,-28.54,5,-427.43,9292.38,2.143,2473.5,1.6,242,806,574,232,0.7122,19020.04,29184.04,10164.0,2.871,50.84,-43.81,23.598,-432.65,-21.63,5,-382.5,14368.42,3.141,4651.62,2.347,242,96.08,92.73
120.0,0.18,None,False,912,646,266,0.7083,13278.91,27189.72,13910.81,1.955,42.09,-52.3,14.56,-562.31,-28.12,5,-427.43,10594.43,2.145,2684.48,1.577,274,912,646,266,0.7083,21487.19,33004.19,11517.0,2.866,51.09,-43.3,23.561,-459.4,-22.97,5,-382.5,16336.51,3.137,5150.69,2.33,274,95.77,92.15
120.0,0.18,"(0.3, 0.5)",True,687,498,189,0.7249,11850.0,21721.41,9871.41,2.2,43.62,-52.23,17.249,-585.47,-29.27,5,-427.43,9199.88,2.412,2650.12,1.789,207,687,498,189,0.7249,18033.51,26204.01,8170.5,3.207,52.62,-43.23,26.25,-480.69,-24.03,5,-382.5,13520.23,3.517,4513.28,2.612,207,96.42,94.42
