min_abs_slope_pct,block_body_band,block_sunday,sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,blofin_n,blofin_wins,blofin_losses,blofin_win_rate,blofin_net_pnl,blofin_gross_win,blofin_gross_loss,blofin_profit_factor,blofin_avg_win,blofin_avg_loss,blofin_avg_trade,blofin_max_dd,blofin_max_dd_pct_of_capital,blofin_largest_loss_streak,blofin_largest_loss_run_usdt,blofin_is_net_pnl,blofin_is_pf,blofin_oos_net_pnl,blofin_oos_pf,blofin_oos_n,lighter_n,lighter_wins,lighter_losses,lighter_win_rate,lighter_net_pnl,lighter_gross_win,lighter_gross_loss,lighter_profit_factor,lighter_avg_win,lighter_avg_loss,lighter_avg_trade,lighter_max_dd,lighter_max_dd_pct_of_capital,lighter_largest_loss_streak,lighter_largest_loss_run_usdt,lighter_is_net_pnl,lighter_is_pf,lighter_oos_net_pnl,lighter_oos_pf,lighter_oos_n,score_lighter,score_blofin
0.12,"(0.3, 0.6)",True,80,25,35,30,50,55,37.5,507,344,163,0.6785,1844.94,8781.79,6936.84,1.266,25.53,-42.56,3.639,-465.47,-23.27,7,-293.85,1722.41,1.358,122.54,1.058,153,507,345,162,0.6805,6408.91,11882.8,5473.89,2.171,34.44,-33.79,12.641,-276.73,-13.84,7,-258.0,4908.95,2.273,1499.96,1.928,153,95.17,51.45
0.12,"(0.3, 0.6)",True,80,25,35,30,65,70,25.0,509,346,163,0.6798,2646.3,9664.45,7018.15,1.377,27.93,-43.06,5.199,-371.63,-18.58,8,-293.85,2286.14,1.468,360.16,1.169,153,509,346,163,0.6798,7228.43,12779.43,5551.0,2.302,36.93,-34.06,14.201,-258.0,-12.9,8,-258.0,5490.83,2.396,1737.6,2.075,153,95.67,63.44
0.12,"(0.3, 0.6)",True,80,25,35,30,65,70,37.5,509,346,163,0.6798,1983.82,9008.22,7024.4,1.282,26.04,-43.09,3.897,-430.47,-21.52,8,-293.85,1776.07,1.363,207.75,1.098,153,509,346,163,0.6798,6565.94,12123.19,5557.25,2.182,35.04,-34.09,12.9,-276.73,-13.84,8,-258.0,4980.69,2.264,1585.26,1.981,153,95.67,55.37
0.12,"(0.3, 0.6)",True,80,25,45,30,60,65,25.0,509,287,222,0.5639,1721.79,9537.54,7815.75,1.22,33.23,-35.21,3.383,-539.23,-26.96,8,-307.65,1531.13,1.279,190.65,1.082,153,509,287,222,0.5639,6304.2,12121.78,5817.58,2.084,42.24,-26.21,12.385,-279.1,-13.95,8,-262.5,4735.96,2.144,1568.24,1.934,153,96.14,52.26
0.12,"(0.3, 0.6)",True,80,25,45,30,60,65,37.5,509,287,222,0.5639,764.05,8586.11,7822.06,1.098,29.92,-35.23,1.501,-591.97,-29.6,8,-307.65,864.57,1.157,-100.52,0.957,153,509,287,222,0.5639,5346.34,11170.23,5823.89,1.918,38.92,-26.23,10.504,-299.38,-14.97,8,-262.5,4069.23,1.982,1277.11,1.76,153,93.73,33.03
0.12,"(0.3, 0.6)",True,80,25,45,30,75,80,25.0,509,287,222,0.5639,1378.71,9200.88,7822.17,1.176,32.06,-35.24,2.709,-570.68,-28.53,8,-307.65,1302.39,1.237,76.32,1.033,153,509,287,222,0.5639,5961.15,11785.15,5824.0,2.024,41.06,-26.23,11.711,-262.5,-13.13,8,-262.5,4507.19,2.088,1453.96,1.866,153,95.82,44.96
0.12,"(0.3, 0.6)",True,80,25,45,30,75,80,37.5,509,287,222,0.5639,752.15,8574.32,7822.17,1.096,29.88,-35.24,1.478,-605.49,-30.27,8,-307.65,851.09,1.155,-98.94,0.957,153,509,287,222,0.5639,5334.5,11158.5,5824.0,1.916,38.88,-26.23,10.48,-299.38,-14.97,8,-262.5,4055.79,1.979,1278.71,1.761,153,93.74,32.63
0.12,"(0.3, 0.6)",True,80,25,55,30,70,75,25.0,503,239,264,0.4751,1198.62,9507.73,8309.11,1.144,39.78,-31.47,2.383,-681.08,-34.05,12,-320.95,1192.45,1.204,6.18,1.003,151,503,239,264,0.4751,5726.78,11659.78,5933.0,1.965,48.79,-22.47,11.385,-267.0,-13.35,12,-267.0,4361.15,2.037,1365.62,1.79,151,94.73,38.53
0.12,"(0.3, 0.6)",True,80,25,55,30,70,75,37.5,503,239,264,0.4751,157.38,8466.49,8309.11,1.019,35.42,-31.47,0.313,-805.2,-40.26,12,-320.95,503.57,1.086,-346.19,0.86,151,503,239,264,0.4751,4685.39,10618.39,5933.0,1.79,44.43,-22.47,9.315,-298.02,-14.9,12,-267.0,3672.16,1.873,1013.24,1.586,151,88.01,16.17
0.12,"(0.3, 0.6)",True,80,25,55,30,85,90,25.0,504,240,264,0.4762,829.92,9139.03,8309.11,1.1,38.08,-31.47,1.647,-675.55,-33.78,12,-320.95,923.84,1.158,-93.92,0.962,152,504,240,264,0.4762,5367.13,11300.13,5933.0,1.905,47.08,-22.47,10.649,-315.5,-15.78,12,-267.0,4092.54,1.973,1274.59,1.737,152,93.34,33.01
0.12,"(0.3, 0.6)",True,80,25,55,30,85,90,37.5,504,240,264,0.4762,125.3,8434.41,8309.11,1.015,35.14,-31.47,0.249,-813.44,-40.67,12,-320.95,456.42,1.078,-331.12,0.866,152,504,240,264,0.4762,4662.4,10595.4,5933.0,1.786,44.15,-22.47,9.251,-315.5,-15.78,12,-267.0,3625.04,1.862,1037.36,1.6,152,88.19,15.93
0.12,"(0.3, 0.6)",True,80,35,45,40,60,65,35.0,485,328,157,0.6763,2235.06,11120.6,8885.54,1.252,33.9,-56.6,4.608,-643.07,-32.15,9,-441.4,1970.0,1.33,265.07,1.091,146,485,328,157,0.6763,6601.54,14073.89,7472.36,1.883,42.91,-47.59,13.611,-412.91,-20.65,9,-360.5,5021.9,2.006,1579.63,1.636,146,92.99,56.24
