sl_loss_usdt,breakeven_usdt,lock_profit_activate_usdt,lock_profit_usdt,trail_activate_usdt,trail_start_usdt,trail_distance_usdt,zec_lighter_net,zec_lighter_pf,zec_lighter_dd,zec_lighter_n,zec_blofin_net,zec_blofin_pf,sol_lighter_net,sol_lighter_pf,sol_lighter_dd,sol_lighter_n,sol_blofin_net,sol_blofin_pf,combined_lighter_net,combined_blofin_net,both_profitable,zec_lift,sol_lift,combined_lift,score
140,15,45,20,60,65,15.0,27538.15,4.752,-323.47,1128,17385.44,2.479,7418.12,2.717,-352.68,510,2827.33,1.427,34956.270000000004,20212.769999999997,True,6737.460000000003,1000.54,7738.000000000003,76.61443666666666
80,15,45,20,75,80,15.0,28497.25,5.212,-191.5,1143,18209.25,2.612,7277.57,2.84,-193.98,520,2596.5,1.408,35774.82,20805.75,True,7696.560000000001,859.9899999999998,8556.550000000001,76.46961999999999
100,15,45,20,75,80,15.0,28105.02,5.057,-213.5,1135,17888.68,2.568,7206.18,2.763,-258.18,516,2561.33,1.397,35311.2,20450.010000000002,True,7304.330000000002,788.6000000000004,8092.930000000002,76.09466666666668
120,15,45,20,75,80,15.0,27628.14,4.741,-277.39,1132,17439.0,2.473,7299.18,2.804,-318.18,512,2690.51,1.422,34927.32,20129.510000000002,True,6827.450000000001,881.6000000000004,7709.050000000001,76.03302
140,15,45,20,75,80,15.0,27454.35,4.743,-305.84,1127,17310.33,2.471,6966.98,2.614,-382.68,509,2385.34,1.36,34421.33,19695.670000000002,True,6653.66,549.3999999999996,7203.0599999999995,75.82986333333332
80,15,35,20,65,70,22.5,27045.73,5.352,-191.5,1147,16722.0,2.723,6869.02,2.839,-201.57,520,2188.38,1.381,33914.75,18910.38,True,6245.040000000001,451.4400000000005,6696.480000000001,75.14878333333334
100,15,35,20,65,70,22.5,26680.91,5.177,-224.99,1139,16428.91,2.672,6760.52,2.742,-261.57,516,2115.97,1.362,33441.43,18544.88,True,5880.220000000001,342.9400000000005,6223.160000000002,74.70369666666666
80,15,35,20,50,55,22.5,26550.53,5.272,-173.5,1147,16226.7,2.679,7032.56,2.88,-201.57,520,2351.73,1.41,33583.09,18578.43,True,5749.84,614.9800000000005,6364.820000000001,74.50712333333334
120,15,35,20,65,70,22.5,26215.33,4.828,-290.3,1136,15990.53,2.557,6775.52,2.767,-317.07,511,2176.16,1.378,32990.850000000006,18166.690000000002,True,5414.640000000003,357.9400000000005,5772.580000000004,74.38121666666667
100,15,35,20,50,55,22.5,26198.01,5.101,-224.02,1139,15945.91,2.63,6980.66,2.797,-261.57,516,2335.93,1.4,33178.67,18281.84,True,5397.32,563.0799999999999,5960.4,74.36123666666667
140,15,35,20,65,70,22.5,26128.72,4.842,-344.99,1131,15948.98,2.563,6446.26,2.57,-350.1,508,1873.94,1.312,32574.980000000003,17822.92,True,5328.0300000000025,28.68000000000029,5356.710000000003,74.23254666666666
120,15,35,20,50,55,22.5,25745.78,4.759,-284.02,1136,15520.89,2.518,7007.86,2.826,-317.07,511,2408.33,1.419,32753.64,17929.22,True,4945.09,590.2799999999997,5535.37,74.04787333333334
140,15,35,20,50,55,22.5,25694.19,4.779,-344.02,1131,15514.32,2.527,6688.85,2.627,-330.17,508,2116.34,1.353,32383.04,17630.66,True,4893.5,271.27000000000044,5164.77,73.81160666666666
80,15,45,20,75,80,22.5,26674.2,4.943,-191.5,1143,16386.23,2.45,6717.28,2.698,-201.57,520,2036.3,1.32,33391.48,18422.53,True,5873.510000000002,299.6999999999998,6173.210000000002,72.79218
120,15,45,20,75,80,22.5,25823.67,4.497,-296.21,1132,15634.58,2.321,6749.25,2.668,-325.6,512,2140.67,1.336,32572.92,17775.25,True,5022.98,331.6700000000001,5354.65,72.67435333333333
80,15,45,20,60,65,22.5,26241.92,4.876,-173.5,1144,15945.26,2.414,7066.65,2.79,-201.57,523,2358.58,1.372,33308.57,18303.84,True,5441.23,649.0699999999997,6090.299999999999,72.61260333333333
100,15,45,20,60,65,22.5,25848.04,4.729,-220.24,1136,15623.09,2.372,7055.76,2.724,-261.57,519,2383.89,1.37,32903.8,18006.98,True,5047.350000000002,638.1800000000003,5685.5300000000025,72.56523333333334
